：“	;q
安康	ankh
暗亏	ankv
案例	anli
安拉	anla
安乐	anle
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
安民	anmb
鞍马	anma
暗门	anmf
安眠	anmm
按摩	anmo
按钮	annq
按捺	anna
安能	anng
安宁	annk
按年	annm
安排	anpd
安培	anpw
安寝	anqb
按期	anqi
案情	anqk
安全	anqr
按日	anri
安然	anrj
按揉	anrz
暗算	ansr
暗锁	anso
安泰	antd
暗探	antj
安妥	anto
案头	antz
暗示	anui
暗杀	anua
暗哨	anuc
鞍山	anuj
安设	anue
安神	anuf
安生	anug
岸上	anuh
按说	anuo
谙熟	anuu
安睡	anuv
安装	anvl
按照	anvc
按着	anve
安置	anvi
安卓	anvo
暗中	anvs
按住	anvu
安慰	anww
安稳	anwf
安心	anxb
安息	anxi
安详	anxl
暗线	anxm
暗笑	anxn
按下	anxx
按压	anya
暗夜	anye
安逸	anyi
暗影	anyk
按月	anyt
暗语	anyu
案子	anzi
安葬	anzh
安坐	anzo
嗷嗷	aoao
傲岸	aoan
凹槽	aocc
熬到	aodc
奥迪	aodi
熬过	aogo
傲骨	aogu
懊悔	aohv
凹痕	aohf
熬成	aoig
拗口	aokz
傲慢	aomj
澳门	aomf
奥秘	aomi
奥妙	aomn
懊恼	aonc
傲气	aoqi
傲人	aorf
懊丧	aosh
熬汤	aoth
凹凸	aotu
傲视	aoui
奥数	aouu
澳洲	aovz
鏖战	aovj
熬制	aovi
熬煮	aovu
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
奥运	aoyy
奥义	aoyi
澳元	aoyr
遨游	aoyz
凹下	aoxx
安贫乐道	apld
安全第一	aqdy
爱琴海	aqhd
安全感	aqgj
安全局	aqju
鞍前马后	aqmh
爱钱如命	aqrm
爱情片	aqpm
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
黯然销魂	arxh
傲然屹立	aryl
阿塞拜疆	asbj
埃塞俄比亚	asey
爱斯基摩	asjm
奥斯卡	aska
奥斯陆	aslu
阿司匹林	aspl
暗送秋波	asqb
凹凸不平	atbp
暗通款曲	atkq
凹透镜	atjk
按图索骥	atsj
安徒生	atug
哀痛欲绝	atyj
碍手碍脚	auaj
爱说不说	aubu
昂首阔步	aukb
安身立命	aulm
阿诗玛	auma
爱沙尼亚	auny
傲视群雄	auqx
昂首挺胸	autx
唉声叹气	autq
安身之地	auvd
安史之乱	auvl
安身之处	auvi
安装版	avbj
安枕而卧	avew
安知非福	avff
暗中摸索	avms
安之若素	avrs
安枕无忧	avwy
爱之欲其生	avyu
奥委会	awhv
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
按下葫芦起来瓢	axhp
爱新觉罗	axjl
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayhv
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
艾滋病	azbk
爱憎分明	azfm
腌臜泼才	azpc
舶来	bold
比较	bijn
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
拔草	bacc
霸道	badc
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagc
八个	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
扒光	bagl
疤痕	bahf
拔河	bahe
跋扈	bahu
八荒	bahl
不安好心	bahx
拔出	baiu
扒车	baie
八成	baig
靶场	baih
把持	baii
吧唧	baji
拔尖	bajm
八角	bajn
巴结	bajp
罢课	bake
把控	baks
扒拉	bala
巴林	balb
罢了	bale
巴黎	bali
八路	balu
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
扒皮	bapi
霸权	baqr
霸气	baqi
八千	baqm
罢赛	basd
八岁	basv
吧台	batd
八天	batm
拔腿	batv
跋涉	baue
八十	baui
巴蜀	bauu
把手	bauz
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把握	bawo
把稳	bawf
霸王	bawh
把玩	bawj
靶心	baxb
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
霸业	baye
八一	bayi
八月	bayt
八字	bazi
保安族	bazu
并不比	bbbi
不卑不亢	bbbk
不比不知道	bbbd
办不到	bbdc
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
巴巴多斯	bbds
缤纷	bbff
宾馆	bbgr
滨海	bbhd
滨河	bbhe
办不成	bbig
百步穿杨	bbiy
滨江	bbjl
鬓角	bbjn
比比皆是	bbju
步步惊心	bbjx
步步紧逼	bbjb
白白净净	bbjj
不包括	bbko
宾客	bbke
必不可少	bbku
濒临	bblb
宾利	bbli
冰冰凉凉	bbll
殡殓	bblm
巴比伦	bbly
便把令来行	bblx
鬓毛	bbmc
爸爸妈妈	bbmm
宾朋	bbpg
白白胖胖	bbpp
北半球	bbqq
摈弃	bbqi
兵败如山倒	bbrd
棒棒糖	bbth
蹦蹦跳跳	bbtt
并不是	bbui
并不是说	bbuu
比不上	bbuh
帮不上忙	bbum
八宝粥	bbvz
并不知道	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
北部湾	bbwj
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
并不需要	bbxy
不必要	bbyc
北冰洋	bbyh
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
并不一定	bbyd
巴布亚新几内亚	bbyy
半辈子	bbzi
殡葬	bbzh
不必在意	bbzy
保安	bcan
宝宝	bcbc
保本	bcbf
包庇	bcbi
包办	bcbj
刨冰	bcbk
褒贬	bcbm
报表	bcbn
宝贝	bcbw
爆仓	bcch
饱餐	bccj
报错	bcco
保存	bccy
包菜	bccd
报答	bcda
报道	bcdc
保底	bcdi
保单	bcdj
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
报毒	bcdu
报恩	bcen
不辞而别	bceb
爆发	bcfa
暴风	bcfg
包房	bcfh
报复	bcfu
报废	bcfw
不测风云	bcfy
报告	bcgc
宝盖	bcgd
饱嗝	bcge
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
苞谷	bcgu
宝贵	bcgv
饱和	bche
抱恨	bchf
包含	bchj
包换	bchr
保护	bchu
包藏祸心	bchx
宝刹	bcia
爆炒	bcic
包车	bcie
包场	bcih
保持	bcii
爆出	bciu
报酬	bciz
抱紧	bcjb
不存芥蒂	bcjd
宝鸡	bcji
报警	bcjk
褒奖	bcjl
保健	bcjm
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bcko
报考	bckc
报刊	bckj
剥壳	bcke
暴恐	bcks
病从口入	bckr
病从口入，祸从口出	bcki
宝库	bcku
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
报名	bcmk
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
保暖	bcnr
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
报盘	bcpj
报批	bcpi
包票	bcpn
薄片	bcpm
爆破	bcpo
包赔	bcpw
抱歉	bcqm
抱起	bcqi
报请	bcqk
保全	bcqr
抱屈	bcqu
保人	bcrf
包容	bcrs
报送	bcss
报丧	bcsh
暴死	bcsi
煲汤	bcth
宝塔	bcta
爆胎	bctd
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包头	bctz
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保守	bcuz
爆炸	bcva
抱着	bcve
抱枕	bcvf
保证	bcvg
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
保温	bcwf
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl
保险	bcxm
报销	bcxn
保修	bcxq
胞兄	bcxs
暴雪	bcxt
包下	bcxx
龅牙	bcya
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
保佑	bcyz
包扎	bcza
暴躁	bczc
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
包租	bczu
百宝	bdbc
拜拜	bdbd
败笔	bdbi
白班	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
百毒不侵	bdbq
不得不低头	bdbt
摆布	bdbu
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
白菜	bdcd
百草	bdcc
白醋	bdcu
不大对劲	bddj
拜倒	bddc
白带	bddd
白底	bddi
白丁	bddk
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
不得而知	bdev
背道而驰	bdei
拔地而起	bdeq
白发	bdfa
百分	bdff
拜访	bdfh
白饭	bdfj
拜佛	bdfo
白费	bdfw
白癜风	bdfg
白干	bdgj
白宫	bdgs
白鸽	bdge
白光	bdgl
百官	bdgr
白果	bdgo
白骨	bdgu
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
不动产	bdij
白痴	bdii
不到长城非好汉	bdih
百川	bdir
摆出	bdiu
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
摆件	bdjm
白酒	bdjq
白卷	bdjr
败局	bdju
败家	bdjx
败军	bdjy
不懂就问	bdjw
掰开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
不得了	bdln
背地里	bdli
白了	bdle
布达拉宫	bdlg
白领	bdlk
白脸	bdlm
不得了了	bdll
败落	bdlo
白露	bdlu
败类	bdlw
白马	bdma
白猫	bdmc
白忙	bdmh
百米	bdmi
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
不达目的	bdmd
百年	bdnm
白嫩	bdnf
百鸟	bdnn
摆弄	bdns
表达能力	bdnl
摆平	bdpk
摆谱	bdpu
不得其法	bdqf
百强	bdql
不得其所	bdqs
北斗七星	bdqx
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
不动如山	bdru
不打算	bdsr
白色	bdse
冰冻三尺	bdsi
冰冻三尺，非一日之寒	bdsh
白送	bdss
败诉	bdsu
百岁	bdsv
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
拜托	bdto
白兔	bdtu
败退	bdtv
白头	bdtz
不断提高	bdtg
拔得头筹	bdti
白纱	bdua
摆设	bdue
摆上	bduh
拜师	bdui
拜山	bduj
白说	bduo
不动声色	bdus
不得善终	bduv
拜寿	bduz
别当真	bdvf
百兆	bdvc
摆着	bdve
摆正	bdvg
败仗	bdvh
白纸	bdvi
白昼	bdvz
不懂装懂	bdvd
百万	bdwj
宝刀未老	bdwl
百味	bdww
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白雪	bdxt
拔刀相助	bdxv
白银	bdyb
白药	bdyc
白羊	bdyh
不得已	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
步调一致	bdyv
白云	bdyy
不答应	bdyk
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
避而不见	bebj
避而不谈	bebt
不二法门	befm
巴尔干	begj
白俄罗斯	bels
布尔什维克	beuk
不二之选	bevx
巴尔扎克	bevk
本案	bfan
不方便	bfbm
笨笨	bfbf
本表	bfbn
奔波	bfbo
本部	bfbu
百分百	bfbd
百分比	bfbi
百发百中	bfbv
白发苍苍	bfcc
本次	bfci
不复存在	bfcz
不负此生	bfcu
本当	bfdh
本地	bfdi
笨蛋	bfdj
百废待兴	bfdx
本分	bfff
奔放	bffh
奔赴	bffu
本该	bfgd
本国	bfgo
百分号	bfhc
本行	bfhh
暴发户	bfhu
奔驰	bfii
本场	bfih
不费吹灰之力	bfil
奔出	bfiu
本金	bfjb
本季	bfji
本届	bfjp
本就	bfjq
百废俱兴	bfjx
本科	bfke
本刊	bfkj
白费口舌	bfku
本来	bfld
本领	bflk
白费力气	bflq
本类	bflw
本轮	bfly
本名	bfmk
本门	bfmf
本能	bfng
本年	bfnm
笨鸟	bfnn
奔跑	bfpc
本票	bfpn
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
本人	bfrf
本日	bfri
本色	bfse
奔丧	bfsh
不负所托	bfst
奔腾	bftg
奔逃	bftc
本体	bfti
本田	bftm
本条	bftn
本土	bftu
悲愤填膺	bfty
比方说	bfuo
本身	bfuf
本省	bfug
本事	bfui
不负韶华	bfuh
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
百分之一	bfvy
本周	bfvz
本文	bfwf
本无	bfwu
本位	bfww
本息	bfxi
白费心机	bfxj
本性	bfxk
本想	bfxl
本校	bfxn
不分轩轾	bfxv
不法行为	bfxw
本页	bfye
本意	bfyi
本应	bfyk
本源	bfyr
本月	bfyt
不费一兵一卒	bfyz
不负责	bfze
奔走	bfzz
本子	bfzi
不负责任	bfzr
不放在眼里	bfzl
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
笔耕不辍	bgbi
包工包料	bgbl
蚌埠	bgbu
不敢当	bgdh
蹦跶	bgda
绷带	bgdd
蹦迪	bgdi
绷断	bgdr
不共戴天	bgdt
半个多世纪	bgdj
不过尔尔	bgee
迸发	bgfa
甭管	bggr
不敢苟同	bggt
崩坏	bghk
蹦床	bgil
白骨精	bgjk
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
不干胶	bgjn
崩溃	bgkv
崩了	bgle
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
不归路	bglu
不公平	bgpk
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不管三七二十一	bgsy
崩塌	bgta
博古通今	bgtj
不关痛痒	bgty
包工头	bgtz
迸射	bgue
办公室	bgui
半个世纪	bguj
甭说	bguo
不甘示弱	bgur
兵贵神速	bgus
杯弓蛇影	bguy
半个钟	bgvs
绷着	bgve
秉公执法	bgvf
绷直	bgvi
半个钟头	bgvt
报告文学	bgwx
别跟我说	bgwu
不甘心	bgxb
甭想	bgxl
不敢相信	bgxx
不感兴趣	bgxq
半个小时	bgxu
半个月	bgyt
不顾一切	bgyq
不够意思	bgys
不甘于	bgyu
不苟言笑	bgyx
不敢越雷池一步	bgyb
不攻自破	bgzp
闭关自守	bgzu
八竿子打不着	bgzv
不会吧	bhba
帮帮	bhbh
不慌不忙	bhbm
饱汉不知饿汉饥	bhbj
棒打	bhda
榜单	bhdj
变化多端	bhdd
绑定	bhdk
不遑多让	bhdr
北海道	bhdc
不寒而栗	bhel
不欢而散	bhes
绑匪	bhfw
不合格	bhge
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhhx
棒喝	bhhe
帮会	bhhv
不怀好意	bhhy
帮衬	bhif
磅秤	bhig
棒槌	bhiv
不合常理	bhil
绑紧	bhjb
棒极	bhji
邦交	bhjn
绑架	bhjx
蚌壳	bhke
白鹤亮翅	bhli
绑牢	bhlc
帮了	bhle
悲欢离合	bhlh
不回来	bhld
变幻莫测	bhmc
帮忙	bhmh
兵荒马乱	bhml
巴哈马	bhma
绑票	bhpn
帮派	bhpd
不患贫而患不均	bhpj
不回去	bhqu
不合群	bhqy
百花齐放	bhqf
帮腔	bhql
棒球	bhqq
帮人	bhrf
不好惹	bhre
不划算	bhsr
保护伞	bhsj
不好说	bhuo
不合适	bhui
不合时宜	bhuy
帮手	bhuz
帮助	bhvu
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
百花争艳	bhvy
傍晚	bhwj
榜文	bhwf
变幻无常	bhwi
变化无穷	bhwq
冰魂雪魄	bhxp
帮凶	bhxs
保护性	bhxk
榜样	bhyh
榜眼	bhyj
不好意思	bhys
绑在	bhzd
棒子	bhzi
彼岸	bian
必败	bibd
臂膀	bibh
比比	bibi
弊病	bibk
不吵不闹	bibn
罢黜百家	bibj
碧波	bibo
把持不住	bibv
必备	bibw
百吃不厌	biby
彼此	bici
必得	bide
壁灯	bidg
必定	bidk
弊端	bidr
必读	bidu
比对	bidv
笔袋	bidd
比方	bifh
笔法	bifa
比分	biff
避风	bifg
不成方圆	bify
笔杆	bigj
避光	bigl
闭关	bigr
百尺竿头	bigt
壁柜	bigv
百尺竿头更进一步	bigb
百川归海	bigh
碧海	bihd
闭合	bihe
不差毫厘	bihl
避祸	biho
庇护	bihu
避讳	bihv
笔画	bihx
逼婚	bihy
逼近	bijb
笔记	biji
毕竟	bijk
必将	bijl
鼻尖	bijm
必究	bijq
闭卷	bijr
不成敬意	bijy
笔架	bijx
别出机杼	bijv
避开	bikd
鼻孔	biks
闭口	bikz
必看	bikj
比例	bili
毙了	bile
碧蓝	bilj
鼻梁	bill
笔录	bilu
比率	bilv
壁垒	bilw
拔出萝卜带出泥	biln
鼻毛	bimc
闭门	bimf
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimw
比拟	bini
避难	binj
婢女	binv
比拼	bipb
逼迫	bipo
比起	biqi
鼻腔	biql
壁球	biqq
不成其为	biqw
避让	birh
必然	birj
比如	biru
鄙人	birf
比赛	bisd
闭塞	bise
比萨	bisa
必死	bisi
不出所料	bisl
笔套	bitc
比特	bite
鼻涕	biti
笔挺	bitk
不成体统	bitt
鼻头	bitz
闭上	biuh
鄙视	biui
避暑	biuu
必杀	biua
必胜	biug
避税	biuv
笔顺	biuy
匕首	biuz
比照	bivc
逼债	bivd
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
壁纸	bivi
比重	bivs
不吃这一套	bivt
逼问	biwf
臂弯	biwj
比武	biwu
不成问题	biwt
笔芯	bixb
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
辟邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixx
鼻音	biyb
必要	biyc
毕业	biye
鼻翼	biyi
闭眼	biyj
不齿于人	biyr
必用	biys
比喻	biyu
避孕	biyy
必有	biyz
鼻子	bizi
比作	bizo
鼻祖	bizu
闭嘴	bizv
逼走	bizz
办案	bjan
半百	bjbd
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
半边	bjbm
斑驳	bjbo
不见不散	bjbs
颁布	bjbu
不骄不躁	bjbz
不疾不徐	bjbx
半仓	bjch
板材	bjcd
班次	bjci
饱经沧桑	bjcs
搬到	bjdc
不见得	bjde
板凳	bjdg
班底	bjdi
不减当年	bjdn
半段	bjdr
搬动	bjds
伴读	bjdu
不记得了	bjdl
不计代价	bjdj
比较而言	bjey
比肩而立	bjel
不教而诛	bjev
不胫而走	bjez
办法	bjfa
半分	bjff
饱经风霜	bjfu
不解风情	bjfq
宝剑锋从磨砺出	bjfi
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
白驹过隙	bjgx
办好	bjhc
瘢痕	bjhf
半酣	bjhj
版画	bjhx
保驾护航	bjhh
半场	bjih
班车	bjie
办成	bjig
班禅	bjij
搬出	bjiu
半斤	bjjb
班级	bjji
半径	bjjk
颁奖	bjjl
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
比肩接踵	bjjv
搬家	bjjx
版块	bjkk
搬开	bjkd
半空	bjks
扮酷	bjku
不积跬步无以至千里	bjkl
不见了	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjlk
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
斑马	bjma
版面	bjmm
不结盟	bjmg
不结盟运动	bjmd
不讲面子	bjmz
比基尼	bjni
伴娘	bjnl
半年	bjnm
搬弄	bjns
半拍	bjpd
半瓶	bjpk
半票	bjpn
般配	bjpw
保健品	bjpb
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
不计前嫌	bjqx
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
搬入	bjru
不尽然	bjrj
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
悲剧色彩	bjsc
半天	bjtm
办妥	bjto
不见天日	bjtr
半桶	bjts
半途	bjtu
不见兔子不撒鹰	bjty
半身	bjuf
半生	bjug
办事	bjui
班上	bjuh
半山	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
扳手	bjuz
必经之地	bjvd
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
搬砖	bjvr
不经之谈	bjvt
版主	bjvu
不见真佛不烧香	bjvx
不解之缘	bjvy
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
不尽完美	bjwm
伴舞	bjwu
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
不尽相同	bjxt
板鸭	bjya
半夜	bjye
别具一格	bjyg
搬移	bjyi
扮演	bjyj
半圆	bjyr
半月	bjyt
不经一事不长一智	bjyv
搬运	bjyy
败局已定	bjyd
不讲义气	bjyq
不久以后	bjyh
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
伴奏	bjzz
北京大学	bjdx
北京师范大学	bjux
并案	bkan
冰雹	bkbc
兵败	bkbd
冰棒	bkbh
病变	bkbm
并不	bkbu
冰冰	bkbk
百看不厌	bkby
并存	bkcy
冰岛	bkdc
冰袋	bkdd
冰灯	bkdg
冰雕	bkdn
冰冻	bkds
冰点	bkdm
病毒	bkdu
不可遏制	bkev
兵法	bkfa
冰封	bkfg
病房	bkfh
不可否认	bkfr
并非	bkfw
并购	bkgz
禀告	bkgc
病根	bkgf
饼干	bkgj
不可估量	bkgl
不可告人	bkgr
秉公	bkgs
病故	bkgu
冰柜	bkgv
冰棍	bkgy
病号	bkhc
病害	bkhd
冰河	bkhe
不可或缺	bkhq
病患	bkhr
不堪回首	bkhu
秉承	bkig
秉持	bkii
摒除	bkiu
病床	bkil
冰川	bkir
并将	bkjl
并进	bkjb
不可兼得	bkjd
并击	bkji
并肩	bkjm
冰窖	bkjn
并就	bkjq
病句	bkju
病假	bkjx
病菌	bkjy
并可	bkke
不可开交	bkkj
冰块	bkkk
并口	bkkz
不考虑	bklv
病了	bkle
冰冷	bklg
槟榔	bklh
病例	bkli
冰凉	bkll
并联	bklm
并列	bklp
不可理喻	bkly
兵马	bkma
百口莫辩	bkmb
禀明	bkmk
病魔	bkmo
不可名状	bkmv
并没	bkmw
不可磨灭	bkmm
不可能	bkng
不可能的	bknd
不可能吧	bknb
并排	bkpd
不可偏废	bkpf
不靠谱	bkpu
兵器	bkqi
不可企及	bkqj
病情	bkqk
并且	bkqp
冰球	bkqq
兵权	bkqr
病人	bkrf
不堪入耳	bkre
不堪入目	bkrm
病容	bkrs
并入	bkru
宾客如云	bkry
病死	bksi
