;	：
aiuh	爱上
aiui	碍事
aiuk	獃
aiuk	敳
aiuk	𮲔
aiun	𡶃
aiut	嵦
aiuz	碍手
aiv	嫒
aive	挨着
aive	嬡
aivg	癌症
aivg	娾
aivk	娭
aivv	𡟓
aiwi	㝶
aiwj	爱玩
aixb	爱心
aixi	爱惜
aixn	矮小
aixy	暗潮汹涌
aiy	哀
aiya	哎呀
aiye	艾叶
aiyi	爱意
aiyj	碍眼
aiyk	誒
aiyo	哎哟
aiyo	譺
aiyr	哀怨
aiys	爱用
aiyt	哀乐
aiyt	䶣
aiyt	𧪚
aiyu	碍于
aiyu	𬺃
aiyv	譪
aizg	爱憎
aizi	矮子
aizu	阿昌族
aizz	挨揍
aj	安静
aj	按键
ajah	挨家挨户
ajcb	挨肩擦背
ajle	安静了
ajlh	安家落户
ajly	安居乐业
ajmd	阿基米德
ajnf	暗箭难防
ajsr	氨基酸
ajur	暗箭伤人
ak	拗口
akbk	爱看不看
al	按理
alba	阿鲁巴
albb	阿里巴巴
albg	阿拉伯联合酋长国
albl	爱理不理
albo	阿拉伯
albz	阿拉伯数字
aldk	阿拉丁
alfp	按劳分配
alhv	安理会
alpk	奥林匹克
alqi	按劳取酬
alqq	阿联酋
alsi	安乐死
aluj	阿里山
aluo	按理说
alwo	安乐窝
am	暧昧
amag	阿猫阿狗
amds	哀莫大于心死
amld	鞍马劳顿
amnv	爱莫能助
amrz	爱民如子
amsd	阿姆斯特丹
amvx	爱美之心
amwq	奥妙无穷
amyc	安眠药
amzi	爱面子
an	安
ana	暗
anaa	闇
anan	暗暗
anau	晻
anav	晻
anav	㫨
anba	腤
anbc	安保
anbf	䯥
anbj	案板
anbj	豻
anbj	貋
anbm	岸边
anbu	腌
anbv	按捺不住
anbv	胺
anbv	腌
anby	懊恼不已
anch	暗藏
anci	按此
ancj	錌
ancm	鉗
anco	按错
ancv	銨
and	桉
andc	暗道
andi	暗地
andj	黯淡
andj	暗淡
andk	安定
andu	安度
andu	𣚖
andv	𣚖
andy	安顿
anea	𤃷
anec	𣽥
aneg	𣵱
anev	洝
anfa	案发
anff	安分
anfg	暗讽
anfh	安放
anfj	案犯
anfu	安抚
ang	埯
ange	暗格
angh	𡎑
angj	堓
angv	垵
angz	暗沟
anha	䬓
anha	𧖮
anha	𫗊
anhc	暗号
anhd	暗害
anhe	暗合
anhf	𥳬
anhj	暗含
anhj	㸩
anhl	暗黄
anhs	暗红
anhu	䅖
anhu	馣
anhv	安徽
anhv	䅖
anhv	馣
anhw	暗黑
ani	谙
ani	庵
ania	安插
anic	暗潮
anih	暗娼
anil	暗疮
anip	𤜁
aniu	暗处
aniy	鹌鹑
anj	案
anjb	𡪙
anjd	䅁
anji	按季
anjj	鞌
anjk	安静
anjl	䢿
anjm	案件
anjn	暗礁
anjp	按揭
anjr	案卷
anjr	𡪁
anjt	䀂
anjt	𥦍
anju	安居
anjx	安家
ank	鹌
ankf	鵪
ankh	安康
ankj	犴
ankj	𡯏
ankj	𤟉
ankk	𤞿
anko	𣣚
anku	㞄
anku	痷
ankv	暗亏
ankv	㞄
ankv	痷
anla	安拉
anla	𬮴
anle	安乐
anli	案例
anlj	蝻
anlk	按铃
anlm	暗恋
anlq	暗流
anlv	暗绿
anma	鞍马
anma	𣆛
anma	𩈴
anmb	安民
anmc	頇
anmf	暗门
anmh	厂
anmj	厈
anmm	安眠
anmm	㱘
anmm	玵
anmm	雸
anmo	按摩
anmu	𩅝
anmv	𩅝
ann	𩽾
anna	按捺
anna	隌
anna	鿷
anna	𩹎
annb	阴
anne	阥
anng	安能
anni	陰
anni	隂
annj	𬴁
annk	安宁
annm	按年
annq	按钮
annv	鮟
ano	氨
ano	俺
ano	铵
anoa	韽
anoa	𥏮
anof	儑
anof	𪁟
anom	𠉬
anom	𱊣
anot	盦
anot	盒
anot	盫
anou	𱏋
anov	侒
anov	𱏋
anpd	安排
anpu	匎
anpv	匎
anpw	安培
anq	按
anqa	揞
anqb	安寝
anqf	𢰍
anqi	按期
anqi	暗器
anqk	案情
anqr	安全
anr	唵
anra	𠽪
anri	按日
anrj	安然
anrj	𠰑
anrt	啽
anrz	按揉
ansj	䮗
ansj	𨲊
ansj	𩭢
anso	暗锁
ansr	暗算
ansr	匼
anta	萻
antd	安泰
antj	暗探
anto	安妥
antt	葊
antu	菴
antu	蓭
antu	𦺽
antv	鞍
antv	菴
antv	荌
antv	蓭
antv	𦺽
antz	案头
anu	岸
anua	暗杀
anuc	暗哨
anuc	𩓤
anue	安设
anuf	安神
anug	安生
anuh	岸上
anui	暗示
anuj	鞍山
anuj	㟁
anuo	按说
anur	𡹼
anur	𡽜
anuu	谙熟
anuv	安睡
anuv	峎
anuv	峖
anva	㛺
anvc	按照
anve	按着
anvi	安置
anvj	婩
anvo	安卓
anvs	暗中
anvt	媕
anvu	按住
anvw	㜝
anw	黯
anwa	罯
anwf	安稳
anwr	黬
anwu	㽢
anwv	㽢
anww	安慰
anxb	安心
anxi	安息
anxl	安详
anxm	暗线
anxn	暗笑
anxx	按下
anya	按压
anya	諳
anya	𧮍
anye	暗夜
anyf	䜙
anyf	鶕
anyh	广
anyi	安逸
anyk	暗影
anym	𬸝
anyr	誝
anyr	𪘒
anyt	按月
anyt	𧩸
anyu	暗语
anyu	𧫥
anyv	𧫥
anyw	𧫧
anzh	安葬
anzi	案子
anzo	安坐
ao	奥
aoan	傲岸
aoao	嗷嗷
aobk	䐿
aobt	䯠
aocc	凹槽
aocp	䥝
aodc	熬到
aodi	奥迪
aodp	棍
aodp	梎
aods	柪
aoe	澳
aoek	滶
aoek	𣷫
aoeu	浇
aoeu	澆
aoff	爊
aofk	燠
aofp	𤏶
aofr	𧨲
aog	熬
aog	坳
aoga	𣊁
aogb	𩱏
aogc	鏊
aogc	䫨
aogc	𩕀
aoge	䵅
aogf	鰲
aogf	驁
aogf	鷔
aogi	螯
aogi	㘬
aogi	𡊛
aogi	𢧴
aogi	𩘮
aogj	聱
aogk	敖
aogk	獒
aogk	墺
aogk	𡏼
aogk	𱖎
aogn	䵅
aogo	熬过
aogp	㥿
aogp	圫
aogq	摮
aogr	謷
aogr	嗸
aogs	㘭
aogt	𥂢
aogu	傲骨
aogu	垇
aogu	嶅
aogu	鼇
aogv	嫯
aogy	𦪈
aoh	翱
aoh	岙
aohf	凹痕
aohf	䴈
aohf	鴁
aohk	奧
aohk	𢕟
aohm	翶
aohm	翺
aohm	𬸩
aohu	嶴
aohv	懊悔
aoi	鏖
aoid	𬣦
aoig	熬成
aoik	廒
aoik	𥜌
aoik	𫍵
aoik	𬤡
aojs	軪
aokk	獓
aokk	𤺾
aoks	狕
aokz	拗口
aol	袄
aolk	襖
aolk	𢁱
aom	岙
aom	璈
aom	奡
aomf	澳门
aomi	奥秘
aomj	傲慢
aomk	厫
aomk	磝
aomk	𥜌
aomn	奥妙
aomr	𱍛
aoms	𥑑
aoms	𩈏
aomu	磽
aomu	𩑍
aon	隩
aonc	懊恼
aonk	隞
aonk	𩼈
aoo	傲
aooc	𩑤
aook	鿫
aook	𩟇
aoop	𰿁
aoos	㑃
aop	懊
aopk	慠
aopk	㤇
aoq	熬
aoqa	𣊁
aoqb	𩱏
aoqc	鏊
aoqc	䫨
aoqc	𩕀
aoqe	䵅
aoqf	鰲
aoqf	㩠
aoqf	驁
aoqf	鷔
aoqi	傲气
aoqi	螯
aoqi	𢧴
aoqi	𩘮
aoqj	聱
aoqk	敖
aoqk	獒
aoqk	扷
aoqk	擙
aoqk	𢳆
aoqm	鳌
aoqm	骜
aoqm	𪉑
aoqn	䵅
aoqp	㥿
aoqq	摮
aoqr	謷
aoqr	嗸
aoqs	拗
aoqs	抝
aoqt	𥂢
aoqu	嶅
aoqu	鼇
aoqv	嫯
aoqy	𦪈
aor	嗷
aorf	傲人
aork	㕭
aorr	嚣
aos	凹
aosh	懊丧
aosk	䦋
aosk	䮯
aosk	镺
aosk	𩮯
aotc	𦽀
aotf	𧅃
aotf	𩣻
aotf	𪁾
aoth	熬汤
aotk	薁
aotk	芺
aotk	蔜
aotu	凹凸
aouc	䫜
aouf	𪃨
aoui	傲视
aouk	㟼
aouk	㠂
aouk	㠗
aouo	𬱮
aous	岰
aouu	奥数
aov	媪
aovi	熬制
aovj	鏖战
aovk	㜜
aovk	㜩
aovt	媼
aovu	熬煮
aovz	澳洲
aoxl	翱翔
aoxm	凹陷
aoxx	凹下
aoy	遨
aoyc	熬药
aoye	熬夜
aoye	㿰
aoyf	𩥊
aoyi	奥义
aoyk	䜒
aoyk	謸
aoyr	澳元
aoys	詏
aoyy	奥运
aoyz	遨游
ap	安排
apld	安贫乐道
aq	安全
aqdy	安全第一
aqgj	安全感
aqhd	爱琴海
aqju	安全局
aqmh	鞍前马后
aqpm	爱情片
aqrm	爱钱如命
ar	黯然
artl	傲然挺立
artu	安如泰山
arus	黯然失色
aruu	黯然神伤
arwy	安然无恙
arxh	黯然销魂
aryl	傲然屹立
as	暗算
asbj	阿塞拜疆
asey	埃塞俄比亚
asjm	爱斯基摩
aska	奥斯卡
aslu	奥斯陆
aspl	阿司匹林
asqb	暗送秋波
at	凹凸
atbp	凹凸不平
atjk	凹透镜
atkq	暗通款曲
atsj	按图索骥
atug	安徒生
atyj	哀痛欲绝
au	按时
auaj	碍手碍脚
aubu	爱说不说
aukb	昂首阔步
aulm	安身立命
auma	阿诗玛
auny	爱沙尼亚
auqx	傲视群雄
autq	唉声叹气
autx	昂首挺胸
auvd	安身之地
auvi	安身之处
auvl	安史之乱
av	按照
avbj	安装版
avew	安枕而卧
avff	安知非福
avms	暗中摸索
avrs	安之若素
avwy	安枕无忧
avyu	爱之欲其生
aw	安慰
awhv	奥委会
awjw	爱屋及乌
awtr	暗无天日
ax	爱惜
axbx	爱信不信
axcz	暗箱操作
axfp	按需分配
axhp	按下葫芦起来瓢
axjl	爱新觉罗
axuy	暗香疏影
axym	爱惜羽毛
ay	安逸
ayhv	奥运会
ayst	爱因斯坦
ayvv	安营扎寨
ayxv	安于现状
az	暗自
azbk	艾滋病
azfm	爱憎分明
azpc	腌臜泼才
b	不
b	吧
b	比较
ba	把
ba	八
baa	巴
baae	𢻷
baai	𧎱
baan	𠛋
baap	巼
baau	𣬷
bab	胈
baba	爸爸
babc	八宝
babd	八百
babi	芭比
babk	把柄
babs	㔜
babu	𧲧
babu	𩨜
bac	爸
bacc	拔草
bacc	釟
bace	鈸
back	鈸
bacs	釛
bacu	鈀
badb	欛
badc	霸道
badc	朳
bade	柭
badk	柭
badn	拔掉
badn	㭭
badu	杷
badu	㿬
badz	巴豆
bae	灞
baeb	㶚
baej	湃
bael	北爱尔兰
baf	粑
bafe	炦
bafg	把风
bafh	八方
bafk	炦
bag	坝
bagb	壩
bagb	𧺡
bagc	拔高
bagc	垻
bage	八个
bage	坺
bage	墢
bage	𧺺
bagk	坺
bagk	𧺺
bagl	扒光
bagr	把关
bags	罢工
bagu	八股
bagu	𤜕
bagx	八卦
bah	八
bahe	拔河
bahe	魃
bahe	叐
bahe	秡
bahe	颰
bahe	馛
bahe	鼥
bahe	𩖽
bahe	𩙥
bahf	疤痕
bahi	𫁂
bahk	魃
bahk	秡
bahk	颰
bahk	馛
bahk	鼥
bahl	八荒
bahp	䆉
bahu	跋扈
bahu	笆
bahu	㸭
bahu	𣬶
bahu	𥝧
bahu	𦫙
bahx	不安好心
baie	扒车
baie	犮
baie	𢇷
baif	䳊
baig	八成
baih	靶场
baih	丷
baii	把持
baik	犮
baik	𢇷
baiu	拔出
baje	軷
baji	吧唧
bajk	軷
bajm	拔尖
bajn	八角
bajn	芭蕉
bajp	巴结
baju	𨊹
bake	罢课
bake	𫐈
bakj	猈
baks	把控
baku	疤
baku	夿
baku	𤜱
baku	𰹻
bala	扒拉
balb	巴林
bale	罢了
bali	巴黎
balu	八路
balu	蚆
balw	芭蕾
bam	霸
bama	爸妈
bamb	覇
bamb	䃻
bamb	𩃴
bamc	拔毛
bamc	玐
bamd	把脉
bame	𤤒
bamf	把门
bamk	㺴
bamk	𤣸
bamk	𤤒
bamm	罢免
bamu	豝
bamu	鿱
ban	鲅
bana	鮊
bana	鲌
banb	𩽷
banb	𬶻
bane	癹
bane	鮁
bane	𱅄
bank	鮁
bank	𩹏
bano	魞
banu	鲃
banu	䰾
banu	弝
banu	𩠀
bao	钯
baoa	伯
baoc	仈
baoc	𫓥
baoe	钹
baoe	𥎱
baoi	𫔆
baoi	𰦜
baok	𥎱
baop	矲
baos	𰽖
baou	𩚥
bape	𢠭
bapi	扒皮
baq	拔
baq	耙
baq	不安全
baqb	𢺞
baqc	扒
baqc	𦓧
baqe	抜
baqi	霸气
baqi	䎬
baqm	八千
baqn	捌
baqp	䎱
baqr	霸权
bar	吧
bar	跋
barc	叭
bare	䟦
bari	𧿏
barn	哵
baru	跁
baru	𠵺
basc	𩡩
basd	罢赛
base	䮂
bask	䮂
basu	㞎
basu	𢃳
basv	八岁
bat	芭
bat	靶
batb	䩗
batd	吧台
bate	菝
bate	茇
bate	𦳺
bate	𩊤
batf	䩻
batj	萆
batk	菝
batk	茇
batk	𦳺
batk	𩊤
batm	八天
batu	羓
batv	拔腿
bau	岜
bau	把守
baue	跋涉
baui	八十
baur	峇
bauu	巴蜀
bauu	不谙世事
bauz	把手
bav	妭
bavc	𡚭
bave	八折
bavh	巴掌
bavj	霸占
bavu	霸主
bavu	紦
baw	罢
bawf	把稳
bawh	霸王
bawj	把玩
bawo	把握
bawp	罷
bax	把戏
baxb	靶心
baxi	巴西
baxm	八仙
baxq	罢休
baxx	拔下
baxy	八旬
baya	拔牙
baye	霸业
baye	詙
bayi	八一
bayj	䇑
bayk	詙
bayt	八月
bayu	䶕
bayu	𫜨
bazi	八字
bazu	保安族
bb	滨
bbac	𣉮
bbb	膑
bbb	髌
bbbb	䐔
bbbc	矉
bbbc	臏
bbbc	髕
bbbd	不比不知道
bbbi	并不比
bbbk	不卑不亢
bbcc	鑌
bbcc	𧷟
bbck	攽
bbcl	邠
bbco	𣢏
bbd	彬
bbdc	办不到
bbdc	槟
bbdc	檳
bbdc	㯽
bbdc	梹
bbdd	椕
bbde	巴不得
bbdn	百般刁难
bbds	巴巴多斯
bbdv	不必当真
bbdy	逼不得已
bbec	浜
bbec	瀕
bbec	濱
bbec	汃
bbec	濵
bbeo	濒
bbff	缤纷
bbff	本本分分
bbgr	宾馆
bbhc	馪
bbhd	滨海
bbhd	𡦆
bbhe	滨河
bbig	办不成
bbiy	百步穿杨
bbj	宾
bbja	𡧼
bbjb	步步紧逼
bbjc	賓
bbjc	顮
bbjc	賔
bbjf	𪇕
bbjg	䨈
bbji	𩴱
bbjj	白白净净
bbjj	边边角角
bbjl	滨江
bbjl	变本加厉
bbjn	鬓角
bbjo	𱂸
bbju	比比皆是
bbju	䚔
bbju	𡦻
bbju	𣰨
bbjx	步步惊心
bbkc	獱
bbke	宾客
bbko	不包括
bbku	必不可少
bbl	八百里
bblb	濒临
bblc	蠙
bbli	宾利
bbll	冰冰凉凉
bbll	斑驳陆离
bblm	殡殓
bblx	便把令来行
bbly	巴比伦
bbm	殡
bbmb	㻞
bbmc	鬓毛
bbmc	殯
bbmc	瑸
bbmc	璸
bbmd	𩆱
bbmh	玢
bbmh	砏
bbmh	霦
bbmm	爸爸妈妈
bbmo	豩
bbnc	䧬
bbnc	𨽗
bbo	镔
bbo	傧
bbob	氞
bboc	儐
bboh	份
bbpc	𧸈
bbpg	宾朋
bbpp	白白胖胖
bbq	摈
bbqa	𢲰
bbqc	擯
bbqi	摈弃
bbqq	北半球
bbrc	𠴇
bbrd	兵败如山倒
bbs	鬓
bbsc	鬢
bbsc	驞
bbsc	鬂
bbss	髩
bbth	棒棒糖
bbtt	蹦蹦跳跳
bbu	豳
bbuh	比不上
bbuh	㟗
bbui	并不是
bbum	帮不上忙
bbuu	并不是说
bbv	缤
bbvc	繽
bbvd	并不知道
bbvj	八拜之交
bbvu	宾主
bbvu	秉笔直书
bbvw	不辨真伪
bbvy	不白之冤
bbvz	八宝粥
bbwj	北部湾
bbwn	被逼无奈
bbww	濒危
bbwx	白璧微瑕
bbwy	步步为营
bbxr	兵不血刃
bbxy	并不需要
bby	斌
bbyc	不必要
bbyc	頻
bbyd	并不一定
bbyf	禀
bbyh	北冰洋
bbyh	虨
bbyj	𨐰
bbyl	彬彬有礼
bbyo	频
bbyu	宾语
bbyu	𥃰
bbyu	𬇄
bbyv	兵不厌诈
bbyy	巴布亚新几内亚
bbzh	殡葬
bbzi	半辈子
bbzy	不必在意
bc	报
bc	宝
bca	暴
bcad	㫧
bcae	曝
bcae	㿺
bcaj	曓
bcam	曓
bcan	保安
bcan	闁
bcb	豹
bcbc	宝宝
bcbd	脬
bcbe	𤔣
bcbe	𦢊
bcbf	保本
bcbi	包庇
bcbj	包办
bcbk	刨冰
bcbm	褒贬
bcbn	报表
bcbn	保镖
bcbu	胞
bcbu	骲
bcbu	𥄹
bcbu	𦡕
bcbu	𧵢
bcbw	宝贝
bccc	𨰦
bccc	𨰻
bccd	包菜
bcce	鑤
bcch	爆仓
bccj	饱餐
bcco	报错
bccu	䥤
bccu	鉋
bccy	保存
bcda	报答
bcdc	报道
bcdc	报到
bcdi	保底
bcdj	保单
bcdk	保定
bcdm	宝典
bcdp	暴跌
bcds	暴动
bcdu	报毒
bcdu	枹
bce	瀑
bceb	不辞而别
bcen	报恩
bceu	㵡
bcf	爆
bcfa	爆发
bcfg	暴风
bcfh	包房
bcfu	报复
bcfu	炮
bcfu	包袱
bcfw	报废
bcfy	不测风云
bcgc	报告
bcgd	宝盖
bcgd	㙅
bcgd	堢
bcge	饱嗝
bcge	報
bcgj	包干
bcgk	𡉩
bcgl	曝光
bcgm	本草纲目
bcgo	包裹
bcgo	㙸
bcgr	保管
bcgs	包公
bcgu	苞谷
bcgv	宝贵
bche	饱和
bche	犦
bche	忁
bche	鸔
bchf	抱恨
bchi	𥭓
bchi	𩾡
bchj	包含
bchm	𥭓
bchm	𩾡
bchq	𩿓
bchr	包换
bchs	勹
bchu	保护
bchu	䳈
bchu	瓟
bchu	笣
bchu	𪏶
bchw	䈏
bchx	包藏祸心
bci	报仇
bcia	宝刹
bcic	爆炒
bcic	包抄
bcie	包车
bcih	包场
bcii	保持
bciu	爆出
bciu	𠣺
bciz	报酬
bcj	宝剑
bcjb	抱紧
bcjc	寶
bcjc	寳
bcjd	不存芥蒂
bcjd	宲
bcjd	𡧖
bcjf	䴐
bcji	宝鸡
bcjk	报警
bcjl	褒奖
bcjm	保健
bcjp	保洁
bcju	保举
bcju	寚
bcju	窇
bcjx	报价
bcjy	暴君
bckc	报考
bckd	𤞥
bcke	剥壳
bcki	病从口入，祸从口出
bcki	𤝧
bckj	报刊
bckm	𤝧
bcko	包括
bckr	病从口入
bcks	暴恐
bcku	宝库
bcl	褓
bcl	不错了
bcle	报了
bclg	爆冷
bcli	暴力
bclj	包揽
bclk	不辞劳苦
bcln	爆料
bclo	包罗
bclp	爆裂
bclq	保留
bclr	暴乱
bclt	褴
bclu	暴露
bclu	袍
bclu	蚫
bclv	𧝘
bclw	堡垒
bcm	雹
bcma	宝马
bcmb	百辞莫辩
bcmc	靌
bcme	䤖
bcmi	保密
bcmj	饱满
bcmk	报名
bcmk	保命
bcmn	虣
bcmo	薄膜
bcmo	㻄
bcmu	保姆
bcmu	䨌
bcmu	䨔
bcmu	珤
bcmu	虣
bcmu	靤
bcmu	𨠖
bcmv	嫑
bcmw	胞妹
bcn	饱
bcn	鲍
bcn	剥
bcnd	𬲺
bcnf	鳵
bcnj	𩍂
bcnr	保暖
bcnt	暴虐
bcnu	暴怒
bcnu	孢
bcnu	鮑
bco	保
bcoc	賲
bcod	䭋
bcod	𩛞
bcoe	儤
bcof	煲
bcof	䳰
bcog	堡
bcol	飹
bcou	飽
bcou	佨
bcou	铇
bcp	包
bcp	鸨
bcpe	𢼌
bcpe	𤿈
bcpf	駂
bcpf	鴇
bcpg	爆棚
bcpi	报批
bcpj	报盘
bcpj	𠤏
bcpl	𨚔
bcpm	薄片
bcpm	𠣒
bcpm	𱅀
bcpn	包票
bcpn	刨
bcpo	爆破
bcpo	勽
bcpu	㲒
bcpu	怉
bcpu	𣭀
bcpw	包赔
bcq	抱
bcqf	抔
bcqi	抱起
bcqk	报请
bcqm	抱歉
bcqr	保全
bcqr	掊
bcqu	抱屈
bcr	趵
bcre	𨇅
bcrf	保人
bcri	𠹕
bcrm	𠹕
bcrm	𲍹
bcrs	包容
bcru	𡂟
bcsd	𩬽
bcsd	𩭼
bcsh	报丧
bcsi	暴死
bcss	报送
bcsu	䎂
bcsu	髱
bct	薄
bcta	宝塔
bctd	爆胎
bctd	葆
bcte	蕔
bcth	煲汤
bctj	报摊
bctk	报亭
bctl	𩊅
bctm	苴
bctn	暴跳
bctr	抱团
bctu	暴徒
bctu	苞
bctu	菢
bctu	鞄
bctv	藵
bctz	包头
bcud	暴晒
bcue	报社
bcuf	报审
bcuh	报上
bcui	宝石
bcuj	宝山
bcuq	抱残守缺
bcuu	报数
bcuu	𡶄
bcuv	报税
bcuz	保守
bcva	爆炸
bcvd	媬
bcvd	緥
bcve	抱着
bcvf	抱枕
bcvg	保证
bcvh	保障
bcvh	暴涨
bcvi	报纸
bcvj	报站
bcvl	包装
bcvl	悲从中来
bcvn	剝
bcvs	保重
bcvu	抱住
bcvy	保准
bcvz	煲粥
bcwf	保温
bcwn	博茨瓦纳
bcwu	宝物
bcww	包围
bcww	保卫
bcx	保鲜
bcxb	报信
bcxi	报喜
bcxk	暴行
bcxl	包厢
bcxl	不辞辛劳
bcxm	保险
bcxn	报销
bcxq	保修
bcxs	胞兄
bcxt	暴雪
bcxx	包下
bcy	褒
bcy	龅
bcya	龅牙
bcye	𠅬
bcye	𧭤
bcyh	保养
bcyi	报以
bcyi	䪨
bcyk	报应
bcym	䪨
bcyr	抱怨
bcyt	包月
bcyu	暴雨
bcyu	齙
bcyv	裒
bcyv	襃
bcyv	袌
bcyz	保佑
bcyz	包邮
bcza	包扎
bczc	暴躁
bczg	暴增
bczh	宝藏
bczi	包子
bczo	宝座
bczu	包租
bd	白
bd	拜
bdb	败
