阿爸	aaba
凤冠霞帔	fgxp
反戈一击	fgyj
防盗	fhdc
放火	fhho
防患	fhhr
纺织	fhvi
防患于未然	fhyr
分久必合	fjbh
反衬	fjif
翻越	fjyt
飞来飞去	flfq
浮标	fubn
肥水不流外人田	fubt
分身乏术	fufu
俯首称臣	fuii
妇女	funv
付钱	fuqm
富饶	furc
粉饰太平	futp
复现	fuxm
放手一搏	fuyb
赋予	fuyu
飞沙走石	fuzu
防微杜渐	fwdj
福无双至	fwuv
附庸风雅	fyfy
光彩夺目	gcdm
光打雷不下雨	gdly
古道热肠	gdri
功到自然成	gdzi
狗改不了吃屎	ggbu
公共场合	ggih
规规矩矩	ggjj
功高震主	ggvv
各回各家	ghgj
鬼话连篇	ghlp
高居榜首	gjbu
国际惯例	gjgl
孤家寡人	gjgr
故技重施	gjiu
过街老鼠	gjlu
敢于	gjyu
高楼大厦	gldu
咕噜咕噜	glgl
告老还乡	glhx
寡廉鲜耻	glxi
功名利禄	gmll
果实	goui
宫殿	gsdm
公愤	gsff
工夫	gsfu
攻克	gske
功力	gsli
鼓瑟齐鸣	gsqm
公投	gstz
共识	gsui
公证	gsvg
公益	gsyi
古董	guds
骨骼	guge
顾忌	guji
孤立	guli
果实累累	gull
高山流水	gulu
鬼使神差	guui
鼓掌	guvh
更胜一筹	guyi
孤身一人	guyr
归集	gvji
各执己见	gvjj
闺蜜	gvmi
孤掌难鸣	gvnm
狗仗人势	gvru
皈依	gvyi
柜员	gvyr
高瞻远瞩	gvyv
改弦更张	gxgv
狗眼看人低	gykd
各自为战	gzwv
何必当初	hbdi
毫不留情	hblq
恨不相逢未嫁时	hbxu
耗电	hcdm
皇帝不急太监急	hdbj
患得患失	hdhu
华灯初上	hdiu
寒冬腊月	hdly
海面	hdmm
河东狮吼	hduh
荒诞无稽	hdwj
轰动一时	hdyu
华而不实	hebu
合资	hezi
含含糊糊	hhhh
悔恨交加	hhjj
花花绿绿	hhll
鸿鹄之志	hhvv
环环相扣	hhxk
花好月圆	hhyy
合久必分	hjbf
撼动	hjds
换句话说	hjhu
行家里手	hjlu
后继有人	hjyr
横空出世	hkiu
画龙点睛	hldj
晃来晃去	hlhq
花里胡哨	hlhu
活灵活现	hlhx
汗流浃背	hljb
鹤立鸡群	hljq
汗流满面	hlmm
花落谁家	hluj
晃眼	hlyj
恍如隔世	hrgu
浑然不觉	hrbj
缓解	hrjp
恍若未闻	hrww
换洗	hrxi
浩如烟海	hryh
好事不出门	hubm
好事多磨	hudm
好说歹说	hudu
呼唤	huhr
胡椒	hujn
后生可畏	hukw
欢声雷动	huld
护理	huli
华山论剑	hulj
呼噜	hulu
混世魔王	humw
护士	huui
含沙射影	huuy
浑身解数	huxu
会者不难	hvbn
货真价实	hvju
哗众取宠	hvqi
晦涩	hvse
会晤	hvwu
话中有话	hvyh
毫无用处	hwyi
毫无怨言	hwyy
横行霸道	hxbd
滑动	hxds
祸兮福所倚	hxfy
活学活用	hxhy
混淆是非	hxuf
滑翔	hxxl
忽隐忽现	hyhx
慧眼如炬	hyrj
婚俗	hysu
慧眼识珠	hyuv
红颜知己	hyvj
好逸恶劳	hywl
和颜悦色	hyys
插手	iauz
诧异	iayi
潮湿	icui
船到江心补漏迟	idji
差遣	idqm
扯上	ieuh
常委	ihww
春风化雨	ifhy
超凡入圣	ifru
超凡脱俗	ifts
冲锋陷阵	ifxv
城墙	igql
春寒料峭	ihlq
承建	igjm
出乖露丑	igli
橙汁	igvi
承销	igxn
冲冠一怒为红颜	igyy
晨昏颠倒	ihdd
长话短说	ihdu
春华秋实	ihqu
春花秋月	ihqy
常识	ihui
尝鲜	ihxm
彻彻底底	iidd
垂垂老矣	iily
蟾蜍	ijiu
臭名远扬	imyy
臭棋篓子	iqlz
船舶	irbo
怅然若失	irru
喘气	irqi
出人意表	iryb
重逢	isfg
冲剂	isji
崇敬	isjk
处事不惊	iubj
长盛不衰	iubu
成双成对	iuid
处罚	iufa
畜生	iuug
除夕	iuxi
乘胜追击	iuvj
察言观色	iygs
丑化	izhx
姹紫嫣红	izyh
见不得人	jbdr
禁锢	jbgu
久别重逢	jbif
紧紧	jbjb
机不可失	jbku
坚壁清野	jbqy
间不容发	jbrf
金榜题名	jbtm
举步维艰	jbwj
进修	jbxq
敬而远之	jeyv
家常便饭	jibf
家丑不可外扬	jiby
嫉妒	jidu
绝处逢生	jifu
籍贯	jigr
忌讳	jihv
鸡精	jijk
饥肠辘辘	jill
纪念	jinm
鸡肉	jirz
缉私	jisi
精诚所至	jisv
精诚团结	jitj
既成事实	jiuu
机智	jivi
挤占	jivj
畸形	jixk
机箱	jixl
积压	jiya
觊觎	jiyu
加减乘除	jjii
句句属实	jjuu
惊艳	jkyj
警官	jkgr
荆棘	jkji
经理	jkli
几可乱真	jklv
静谧	jkmi
景气	jkqi
静止	jkvi
艰苦卓绝	jkvj
敬重	jkvs
警卫	jkww
景象	jkxl
竞选	jkxr
晶莹	jkyk
剪裁	jmcd
剪刀	jmdc
鉴定	jmdk
坚固	jmgu
监察	jmia
见解	jmjp
间距	jmju
假模假样	jmjy
贱人	jmrf
肩上	jmuh
监视	jmui
近墨者黑	jmvh
艰辛	jmxb
奸细	jmxi
监狱	jmyu
教诲	jnhv
较劲	jnjb
搅和	jnho
焦急	jnji
矫健	jnjm
交界	jnjp
矫情	jnqk
教室	jnui
教主	jnvu
倦鸟知还	jnvh
叫嚣	jnxn
解毒	jpdu
解除	jpiu
解禁	jpjb
洁净	jpjk
节俭	jpjm
阶梯	jpti
结实	jpui
戒指	jpvi
旧瓶装新酒	jpvj
结息	jpxi
举棋不定	jqbd
九点	jqdm
救救	jqjq
驾轻就熟	jqju
久远	jqyr
迥然不同	jrbt
尽人皆知	jrjv
尽人事听天命	jrum
井水不犯河水	jubu
精神抖擞	juds
旧事重提	juit
尽善尽美	jujm
举手投足	jutz
江山社稷	juuj
矩形	juxk
计上心来	juxl
假手于人	juyr
据为己有	jwjy
坚信不疑	jxby
即兴发挥	jxfh
嫁祸	jxho
居心何在	jxhz
尽心尽力	jxjl
加剧	jxju
渐行渐远	jxjy
假惺惺	jxxk
假象	jxxl
甲乙	jxyi
节衣缩食	jysu
郡主	jyvu
军衔	jyxm
锦衣夜行	jyyx
均由	jyyz
苦不堪言	kbky
开刀	kddc
苦大仇深	kdiu
开战	kdvj
砍价	kjjx
磕磕巴巴	kkbb
坑坑洼洼	kkww
颗粒无收	klwu
口诛笔伐	kvbf
开枝散叶	kvsy
可以燎原	kyly
枯燥乏味	kzfw
聊表寸心	lbcx
连本带利	lbdl
拉帮结派	lbjp
两败俱伤	lbju
老花	lchx
郎才女貌	lcnm
落地生根	ldug
立竿见影	lgjy
利国利民	lglm
锣鼓喧天	lgxt
论功行赏	lgxu
利害得失	lhdu
乐呵乐呵	lhlh
灵魂出窍	lhiq
理睬	licd
历朝历代	lild
立秋	liqq
冷嘲热讽	lirf
荔枝	livi
例行	lixk
离家出走	ljiz
浪迹江湖	ljjh
羚羊	lkyh
恋恋不舍	llbu
唠唠叨叨	lldd
亮点	lldm
来来回回	llhh
绫罗绸缎	llid
泪流满面	llmm
来龙去脉	llqm
冷冷清清	llqq
啰啰嗦嗦	llss
沦落至此	llvc
利令智昏	llvh
寥寥无几	llwj
碌碌无为	llww
陆陆续续	llxx
流落异乡	llyx
连蒙带猜	lmdc
两面三刀	lmsd
螺蛳	losi
琉璃	lqli
两全其美	lqqm
离群索居	lqsj
流逝	lqui
利人不利己	lrbj
令人齿冷	lril
令人胆寒	lrdh
令人感动	lrgd
理所当然	lsdr
牢骚满腹	lsmf
掠过	ltgo
路途遥远	ltyy
劳师动众	ludv
乐善好施	luhu
绿水青山	luqu
料事如神	luru
卤汁	luvi
良师益友	luyy
列支敦士登	lvdd
力争上游	lvuy
略知一二	lvye
累积	lwji
立于不败之地	lybd
络绎不绝	lybj
龙吟虎啸	lyhx
伶牙俐齿	lyli
洛阳纸贵	lyvg
燎原之势	lyvu
临渊羡鱼	lyxy
没安好心	mahx
面不改色	mbgs
名不正言不顺	mbvu
默不作声	mbzu
茅草	mccc
满腹经纶	mfjl
每分每秒	mfmm
马革裹尸	mggu
卖国求荣	mgqr
目光如炬	mgrj
蒙受	mguz
梦乡	mgxl
卖官鬻爵	mgyj
盟友	mgyz
糜烂	milj
猫哭老鼠	mklu
门可罗雀	mklq
眉开眼笑	mkyx
名落孙山	mlsu
懵懵懂懂	mmdd
满面春风	mmif
忙忙碌碌	mmll
莫名其妙	mmqm
勉勉强强	mmqq
茫茫人海	mmrh
名门世家	mmuj
冒冒失失	mmuu
明眸善睐	mmul
茉莉	moli
弥天大谎	mtdh
募集	muji
幕僚	muln
每时每刻	mumk
牧师	muui
没事找事	muvu
莫衷一是	mvyu
美化	mwhx
面无人色	mwrs
美貌	mwmc
梅雨	mwyu
名言警句	myjj
鸟尽弓藏	njgc
南海	njhd
难堪	njkj
扭扭捏捏	nnnn
能省则省	nuzu
能征惯战	nvgv
能者为师	nvwu
爬升	paug
屁大点事	pddu
屁颠屁颠	pdpd
普度众生	pdvu
披肝沥胆	pgld
飘忽不定	phbd
疲乏	pifa
排除异己	piyj
叛逃	pjtc
攀折	pjve
破口大骂	pkdm
拍马难及	pmnj
破位	poww
岂不快哉	qbkz
曲不离口	qblk
禽兽	qbuz
取长补短	qibd
千疮百孔	qibk
七点	qidm
奇耻大辱	qidr
气愤	qiff
起伏	qifu
牵肠挂肚	qigd
企划	qihx
契机	qiji
气量	qill
骑马	qima
旗袍	qipc
歧途	qitu
千差万别	qiwb
企稳	qiwf
栖息	qixi
气喘吁吁	qixx
欺压	qiya
起义	qiyi
青出于蓝而胜于蓝	qiyl
契约	qiyt
棋子	qizi
轻敌	qkdi
清淡	qkdj
旗开得胜	qkdu
轻浮	qkfu
清除	qkiu
青椒	qkjn
情节	qkjp
穷困潦倒	qkld
轻灵	qklk
蜻蜓	qktk
情商	qkuh
轻视	qkui
轻信	qkxb
清洗	qkxi
庆幸	qkxk
清香	qkxl
襁褓	qlbc
黔驴技穷	qljq
巧立名目	qlmm
勤劳致富	qlvf
奇门遁甲	qmdj
虔诚	qmig
青面獠牙	qmly
前年	qmnm
牵手	qmuz
千兆	qmvc
牵着	qmve
欠账	qmvh
潜质	qmvi
亲密无间	qmwj
牵线	qmxm
前言	qmyj
欠揍	qmzz
窍门	qnmf
清清白白	qqbb
清清淡淡	qqdd
起起伏伏	qqff
齐齐哈尔	qqhe
清清爽爽	qquu
卿卿我我	qqww
芊芊玉手	qqyu
求人不如求己	qrbj
全称	qrig
诠释	qrui
齐头并进	qtbj
缺失	qtui
千挑万选	qtwx
情投意合	qtyh
七手八脚	qubj
秋收冬藏	qudc
强身健体	qujt
前世今生	quju
青山绿水	qulu
巧舌如簧	qurh
敲山震虎	quvh
气势汹汹	quxx
趋于	quyu
牵一发而动全身	qyfu
轻言细语	qyxy
人不人鬼不鬼	rbrg
妊娠	rfuf
日复一日	rfyr
如诗如画	rurh
软硬不吃	rybi
所到之处	sdvi
死而不僵	sebj
私房	sifh
死缠烂打	sild
饲料	siln
四季如春	sjri
死记硬背	sjyb
四两拨千斤	slbj
索然无味	srww
松紧	ssjb
松树	ssuu
素菜	sucd
丧失殆尽	sudj
似水流年	suln
四书五经	suwj
三月份	syf
太原	tdyr
天寒地冻	thdd
谈虎色变	thsb
同吃同住	titv
条件反射	tjfu
囤积居奇	tjjq
弹琴	tjqb
偷奸耍滑	tjuh
恬淡	tmdj
填空	tmks
天马行空	tmxk
踏破铁鞋无觅处	tpti
同胞	tsbc
通缉	tsji
同志	tsvi
同室操戈	tucg
徒弟	tudi
投鼠忌器	tujq
太少了	tul
涂脂抹粉	tvmf
他山之石	tuvu
铁石心肠	tuxi
退换	tvhr
弹指一挥间	tvyj
通宵达旦	txdd
兔子不吃窝边草	tzbc
天造地设	tzdu
天姿国色	tzgs
舍不得孩子套不住狼	ubdl
事必躬亲	ubgq
胜败乃兵家常事	ubnu
说曹操曹操到	uccd
鼠肚鸡肠	udji
射箭	uejm
设想	uexl
尚方宝剑	ufbj
神采	ufcd
是非功过	ufgg
神情	ufqk
神色	ufse
顺风顺水	ufuu
深远	ufyr
上个月	ugy
盛会	ughv
省长	ugvh
尸骨未寒	ugwh
生性	ugxk
圣贤	ugxm
声誉	ugyu
神魂颠倒	uhdd
伤痕累累	uhll
赏识	uhui
实话实说	uhuu
事后诸葛亮	uhvl
伤亡	uhwh
商务	uhwu
上限	uhxm
说长道短	uidd
石沉大海	uidh
师范	uifj
师父	uifu
时常	uiih
失控	uiks
势力	uili
石榴	uilq
诗歌	uige
食品	uipb
失陪	uipw
十七	uiqi
市区	uiqu
受宠若惊	uirj
失散	uisj
师出同门	uitm
师长	uivh
食指	uivi
施展	uivj
十五	uiwu
视线	uixm
视野	uiye
事宜	uiyi
试验	uiyj
石油	uiyz
身价百倍	ujbb
拾金不昧	ujbm
伤筋动骨	ujdg
煽动	ujds
舒筋活血	ujhx
陕西	ujxi
身家性命	ujxm
十里不同俗	ulbs
上梁不正下梁歪	ulbw
声泪俱下	uljx
恃强凌弱	uqlr
拾人牙慧	uryh
授人以渔	uryy
身手不凡	uubf
世世代代	uudd
世事洞明	uudm
审时度势	uudu
水深火热	uuhr
书籍	uuji
树立	uuli
顺顺利利	uull
神神秘秘	uumm
树木	uumu
舍生取义	uuqy
声声入耳	uure
孰是孰非	uuuf
省时省力	uuul
生生世世	uuuu
善始善终	uuuv
杀身之祸	uuvh
熟视无睹	uuwd
上上下下	uuxx
稍胜一筹	uuyi
时势造英雄	uuzx
胜之不武	uvbw
身正不怕影子斜	uvbx
失之东隅	uvdy
首战告捷	uvgj
失之交臂	uvjb
实至名归	uvmg
食之无味	uvww
受制于人	uvyr
少之又少	uvyu
顺我者昌	uwvi
双喜临门	uxlm
蛇蝎心肠	uxxi
顺延	uyyj
身在曹营心在汉	uzch
守候	uzhz
稍纵即逝	uzju
十字路口	uzlk
首饰	uzui
受伤	uzuh
收支	uzvi
首位	uzww
收养	uzyh
手艺	uzyi
招摇	vcyc
照单全收	vdqu
掷地有声	vdyu
周而复始	vefu
知法犯法	vfff
侦察	vfia
镇静	vfjk
照方抓药	vfvy
指腹为婚	vfwh
正解	vgjp
政权	vgqr
争执	vgvi
中规中矩	vgvj
至高无上	vgwu
这个月	vgy
正义	vgyi
涨幅	vhfu
追悔莫及	vhmj
致辞	vici
制定	vidk
滞后	vihz
职称	viig
支出	viiu
纸巾	vijb
致敬	vijk
争长论短	vild
智力	vili
知名	vimk
智商	viuh
纸张	vivh
制止	vivi
支柱	vivu
职务	viwu
志向	vixl
直辖	vixx
枝丫	viya
质疑	viyi
职员	viyr
指责	vize
针尖对麦芒	vjdm
战士	vjui
朝九晚五	vjww
战友	vjyz
竹篮打水一场空	vldk
直来直去	vlvq
珍禽异兽	vqyu
众人拾柴火焰高	vrug
终端	vsdr
终极	vsji
终结	vsjp
中指	vsvi
终身大事	vudu
嘱咐	vufu
主观	vugr
著称	vuig
主见	vujm
著书立说	vulu
著名	vumk
仗势欺人	vuqr
诸如	vuru
众矢之的	vuvd
重赏之下，必有勇夫	vuvf
助威	vuww
主义	vuyi
祝愿	vuyr
照章办事	vvbu
战战兢兢	vvjj
长长见识	vvju
整整齐齐	vvqq
智者千虑，必有一失	vvqu
蒸蒸日上	vvru
置之死地而后生	vvsu
知之甚少	vvuu
真真正正	vvvv
支支吾吾	vvww
直系亲属	vxqu
只要功夫深	vygu
睁一只眼，闭一只眼	vyvy
文本文件	wbwj
闻道有先后	wdyh
威风扫地	wfsd
瘟疫	wfyi
为虎作伥	whzi
无坚不摧	wjbc
万劫不复	wjbf
无精打采	wjdc
挽回	wjhv
无计可施	wjku
晚年	wjnm
物竞天择	wjtz
无拘无束	wjwu
蜿蜒	wjyj
无利不起早	wlbz
无利可图	wlkt
歪理邪说	wlxu
卧龙凤雏	wlfi
为数不多	wubd
无商不奸	wubj
误导	wudc
万事大吉	wudj
蜈蚣	wugs
无故	wugu
为时过早	wugz
无理	wuli
忤逆	wuni
万水千山	wuqu
无事生非	wuuf
午睡	wuuv
畏手畏脚	wuwj
无时无刻	wuwk
畏首畏尾	wuww
诬陷	wuxm
无暇	wuxx
握手言和	wuyh
无疑	wuyi
勿施于人	wuyr
巫山云雨	wuyy
瓮中之鳖	wvvb
文无第一	wwdy
物我两忘	wwlw
卫冕	wwmm
歪歪扭扭	wwnn
围棋	wwqi
弯弯曲曲	wwqq
玩物丧志	wwsv
完完整整	wwvv
唯物主义	wwvy
呜呜呜	www
猥亵	wwxp
万无一失	wwyu
五味杂陈	wwzi
妄下断语	wxdy
惟有饮者留其名	wyym
心急	xbji
心理	xbli
小不忍则乱大谋	xbrm
心比天高	xbtg
刑不上大夫	xbuf
心声	xbug
邪不胜正	xbuv
虾兵蟹将	xbxj
新兴	xbxk
心仪	xbyi
想东想西	xdxx
相得益彰	xdyv
星光灿烂	xgcl
新陈代谢	xidx
西郊	xijn
洗礼	xili
悉尼	xini
吸取	xiqu
稀释	xiui
洗漱	xiuu
相差甚远	xiuy
洗手	xiuz
相差无几	xiwj
喜出望外	xiww
悉心	xixb
戏谑	xixt
蜥蜴	xiyi
席卷一空	xjyk
性命	xkmk
形势	xkui
笑里藏刀	xlcd
降龙伏虎	xlfh
血流成河	xlih
橡胶	xljn
星罗棋布	xlqb
镶嵌	xlqm
血流如注	xlrv
泄露天机	xltj
心领神会	xluh
想来想去	xlxq
向下	xlxx
笑脸相迎	xlxy
响应	xlyk
吓了一跳	xlyt
显露	xmlu
现实	xmui
献身	xmuf
蓄谋已久	xmyj
心满意足	xmyz
笑声	xnug
嚣张	xnvh
小鸟依人	xnyr
血浓于水	xnyu
懈怠	xpdd
血盆大口	xpdk
亵玩	xpwj
写字	xpzi
贤妻良母	xqlm
小桥流水	xqlu
休整	xqvg
心如刀绞	xrdj
旭日东升	xrdu
血型	xtxk
血液	xtye
心神不宁	xubn
形势比人强	xubq
心神恍惚	xuhh
酗酒	xujq
喜上眉梢	xumu
修身养性	xuyx
修修补补	xxbb
心绪不宁	xxbn
絮絮叨叨	xxdd
险象环生	xxhu
瞎扯	xxie
新鲜出炉	xxil
相形见绌	xxji
稀稀拉拉	xxll
寻寻觅觅	xxmm
心心念念	xxnn
潇潇洒洒	xxss
虚虚实实	xxuu
夏至	xxvi
雄心壮志	xxvv
遐想	xxxl
下限	xxxm
先下一城	xxyi
心心相印	xxxy
小心眼	xxy
香消玉殒	xxyy
咸鱼翻身	xyfu
匈牙利	xyli
悬崖勒马	xylm
学有所成	xysi
心有所属	xysu
心有余悸	xyyj
心有余而力不足	xyyz
雅致	yavi
押运	yayy
引申	ybuf
以不变应万变	ybbb
以备不测	ybbc
欲罢不能	ybbn
摇摆不定	ybbd
引渡	ybdu
愚不可及	ybkj
眼波流转	yblv
一笔抹杀	ybmu
隐匿	ybni
一表人才	ybrc
用兵如神	ybru
要不要紧	ybyj
隐约	ybyt
阴郁	ybyu
有板有眼	ybyy
一兵一卒	ybyz
一寸光阴一寸金	ycgj
由此及彼	ycjb
由此可见	yckj
耀眼	ycyj
有得必有失	ydbu
愿赌服输	ydfu
有胆有识	ydyu
衣冠不整	ygbv
衣冠禽兽	ygqu
有何不可	yhbk
银河倒泻	yhdx
一回生二回熟	yhuu
有话直说	yhvu
养虎为患	yhwh
养颜	yhyj
养育	yhyu
一成不变	yibb
扬长避短	yibd
一尘不染	yibr
阳春白雪	yibx
以诚待人	yidr
一锤定音	yidy
依附	yifu
摇唇鼓舌	yigu
寅吃卯粮	yiml
遗嘱	yivu
遗忘	yiwh
羊肠小道	yixd
阴差阳错	yiyc
越扯越远	yiyy
一击毙命	yjbm
油尽灯枯	yjdk
衣锦还乡	yjhx
演唱	yjih
严谨	yjjb
眼镜	yjjk
义结金兰	yjjl
严苛	yjke
以假乱真	yjlv
冤家路窄	yjlv
俨然	yjrj
延伸	yjuf
掩饰	yjui
炎症	yjvg
一技之长	yjvi
一己之私	yjvs
远见卓识	yjvu
欲加之罪	yjvz
厌恶	yjwu
以儆效尤	yjxy
言尽于此	yjyc
咬紧牙关	yjyg
有口难言	ykny
影射	ykue
哑口无言	ykwy
有利无害	ylwh
由来已久	ylyj
榆木疙瘩	ymgd
有模有样	ymyy
有情人终成眷属	yqru
于情于理	yqyl
阴晴圆缺	yqyq
有权有势	yqyu
一日不见	yrbj
用人不疑，疑人不用	yrby
一人得道	yrdd
一荣俱荣	yrjr
冤家	yrjx
怨气	yrqi
源泉	yrqr
跃然纸上	yrvu
一日为师，终生为父	yrwf
冤枉	yrwh
阅人无数	yrwu
音容笑貌	yrxm
缘由	yryz
一人做事一人当	yrzd
一丝不挂	ysbg
伊斯兰教	yslj
摇头摆尾	ytbw
油头滑脑	ythn
有条有理	ytyl
怨天尤人	ytyr
一声不吭	yubk
愈发	yufa
有伤风化	yufh
迂腐	yufu
浴缸	yugh
与世隔绝	yugj
引蛇出洞	yuid
雨季	yuji
远水解不了近渴	yujk
一石激起千层浪	yujl
雨露	yulu
衣衫褴褛	yull
预期	yuqi
一身是胆	yuud
一试身手	yuuu
有识之士	yuvu
云山雾罩	yuwv
衣食无忧	yuwy
以身相许	yuxx
寓意	yuyi
预言	yuyj
有生以来	yuyl
以势压人	yuyr
有声有色	yuys
愉悦	yuyt
阴盛阳衰	yuyu
有说有笑	yuyx
莺声燕语	yuyy
怨声载道	yuzd
咬舌自尽	yuzj
言之有理	yvyl
言之有物	yvyw
意味深长	ywui
余味无穷	ywwq
言为心声	ywxu
一星半点	yxbd
英雄不问出处	yxbi
一心不能二用	yxby
一线生机	yxuj
欲仙欲死	yxys
言笑晏晏	yxyy
以怨报德	yybd
一夜暴富	yybf
油盐不进	yybj
怏怏不乐	yybl
有眼不识泰山	yybu
抑扬顿挫	yydc
一拥而上	yyeu
因噎废食	yyfu
晕晕乎乎	yyhh
以眼还眼	yyhy
晕晕沉沉	yyii
异于常人	yyir
一语惊醒梦中人	yyjr
阴雨连绵	yylm
烟雨蒙蒙	yymm
一言难尽	yynj
有缘千里来相会	yyqh
咬牙切齿	yyqi
洋洋洒洒	yyss
应有之义	yyvy
引以为戒	yywj
依依惜别	yyxb
炎炎夏日	yyxr
牙牙学语	yyxy
跃跃欲试	yyyu
摇摇欲坠	yyyv
一言一行	yyyx
犹犹豫豫	yyyy
优点	yzdm
以资鼓励	yzgl
忧愁	yziz
右键	yzjm
有理	yzli
一走了之	yzlv
优质	yzvi
有增无减	yzwj
优先	yzxm
游泳	yzys
犹豫	yzyu
匝道	zadc
自驾	zijx
姿色	zise
紫砂	ziua
自助	zivu
自愿	ziyr
自成一家	ziyj
自成一体	ziyt
坐实	zoui
坐失良机	zulj
足矣	zuyi
嘴上一套	zuyt
载誉归来	zygl
自怨自艾	zyzy
又	y
遮	ve
按	a
吧	b
宝	bc
笨	bf
甭	bg
逼	bi
背	bw
此	c
猜	cd
打	d
达	da
道	dc
逗	dz
嗯	e
非	f
份	ff
疯	fg
复	fu
管	g
搞	gc
钙	gd
哥	ge
官	gr
故	gu
化	h
华	hx
壶	hu
初	i
扯	ie
程	ig
臭	iz
见	j
极	ji
鸡	jie
济	jie
贱	jmb
佳	jx
甲	jxw
块	k
抠	kz
立	l
溜	lq
捋	lv
嘛	m
骂	ma
美	mw
哪	n
浓	ns
屁	p
期	q
起	qi
入	r
惹	re
忍	rf
扔	rg
随	s
寺	si
涩	se
它	t
淘	tc
替	ti
舔	tm
通	ts
退	tv
时	u
省	ug
守	uz
之	v
症	vg
终	vs
位	w
文	wf
忘	wh
玩	wj
未	ww
性	x
心	xb
型	xk
凶	xs
野	ye
杨	yh
严	yj
园	yr
友	yz
子	z
遭	zc
揍	zz
坐	zo
辨	bmyj
智	vioa
计	jiij
啱	anrr
喎	worr
閪	hdaw
捱	aiqg
粄	bjfe
抦	bkqb
㞎	basu
揼	bgqe
揼	bgq
屄	bisc
噃	borw
肏	cco
肏	ccoo
啲	diri
啲	dirm
哋	dird
俤	dioh
掟	dkqo
掟	dkq
唞	dzrj
诶	eiik
奀	enmk
瞓	ffbl
嘅	geru
咁	gjrm
攰	gvjs
啩	gxry
菓	gotd
菓	got
㗎	gard
嚡	hdrg
磺	hlmc
磺	hlm
唓	ierj
唓	ier
冚	kjbu
冚	kjb
冧	lbbd
粦	lbfq
嚟	lire
躝	ljrw
躝	ljr
〇	lkrr
喥	dore
攞	loqg
慜	mbop
冇	mckb
冇	mck
擝	mgqt
搣	mpqf
槑	mwrd
唸	nmrp
唸	nmr
嗱	narq
嫐	ncvv
嫐	ncv
囝	jmwd
孃	nlvv
撚	nmqf
惗	nmpp
嬲	nnws
嬲	nnw
呯	pkrj
呯	pkr
珮	pwmb
珮	pwm
炁	qimf
螓	qbld
螓	qbl
靘	qkqu
郬	qkql
㞗	qqse
㞗	qqs
佢	quos
佢	quo
朊	rrbu
叒	roee
叒	roe
嘥	sdro
嗮	sdrw
𪨊	sss
𪨊	ssso
劏	thfn
薙	titg
昰	uiam
嗻	verf
揾	wfqt
揾	wfq
卌	xitt
喺	xirf
係	xiof
嘢	yern
吔	yerd
咗	zorm
囧	jsw
囧	jswb
鲶	nmnp
芶	gzti
咲	xnrk
畑	tmfw
祂	taid
祂	tamd
筊	jnhk
䌷	izvw
堀	kugu
沢	zeeo
桜	ykdv
炤	vcfr
広	glii
凪	vihm
喰	cjrv
円	yrbm
込	yuyo
雫	namy
実	uijk
躾	mwhk
屌	dns
砦	vdy
榀	pbd
烎	ybmf
巭	gumo
兲	tmmc
恏	hcvp
氼	nieo
𰻝	blyp
鿫	aook
鿬	tmmw
鿔	geor
玊	sum
尛	moff
尛	mof
垅	lsgp
埜	yedg
惢	sopp
惢	rvpp
怹	tjop
羴	ujtq
猋	bnik
跫	qsmo
瑊	jmmr
玏	lem
玏	lems
犼	hzku
跩	vkrp
妳	nivf
昍	xraa
晹	yiah
妉	djvu
妉	djv
琂	yjmr
翧	xrjm
莯	mutd
莀	ift
莀	iftv
蕥	yatg
琞	ugai
婋	xnvn
婋	xnvu
暒	qkam
玽	gzmr
麤	cuip
焺	ugft
珄	ugm
珃	rjmb
烓	wwfg
湦	ugem
嚱	xiri
豗	hvm
膖	phbj
朒	gabo
揞	anqa
苶	nptf
垇	aogu
砳	lemr
畊	ggwt
嬅	hxvj
丼	jkti
丼	djti
罥	jrw
骭	gjbj
仌	bkoo
挼	roqv
挼	rxqv
挼	roq
挼	rxq
㨄	vzqr
㨄	vzq
敹	lnyk
敹	lny
佧	kaoy
亖	simm
朤	lhbb
灀	uleu
嫮	huvs
菈	latt
杺	xbdp
枔	xbd
枔	xbdn
荌	antv
荌	ant
妡	xbvl
姀	hevd
沵	mief
妜	jtvk
妜	jtv
妜	ytvk
妜	ytv
凨	fghi
凬	fgha
盻	pjbs
盻	xibs
㨃	dvq
㨃	dvqd
槅	gedb
鿭	niof
裯	izlr
欋	qudg
甙	ddi
甙	ddim
蚵	kelr
髟	bnsh
瀞	jked
瑠	lqmw
䒤	rita
礽	rgis
礽	rgms
𤆵	paf
𤆵	pafu
咾	lcrp
搧	ujqm
崑	kyup
崑	kyu
麃	bnif
麃	pcif
忈	rfmp
濛	mgeo
硷	jmmm
氽	tyoe
氽	tyo
娭	aivk
毑	jpwd
嗰	gorr
潎	ppek
啋	cdrd
喐	yurl
嘦	jnrv
姕	ziyv
黐	iihb
踎	mzrr
渳	miej
膥	cydo
膥	cyjo
澋	jkef
㨤	kkqg
搲	waq
搲	waqo
嫛	yisv
噷	hmro
潀	cseo
潀	zseo
毰	pwhr
毸	sdhp
蟳	xyli
䗉	ihla
楢	yzdw
睖	lgbe
旡	jimu
勹	bchs
嫲	mavd
嫲	mavc
糸	sivf
車	iejj
貝	bwbc
馬	masf
