我	牫
䯎	䯎
䳎	䳎
䳭	䳭
䳸	䳸
䵖	䵖
一	⼀
丁	㆜
七	㊆
三	㆔
上	㆖
下	㆘
不	不
丙	㆛
並	並
丨	⼁
中	㆗
串	串
丶	⼂
丸	丸
丹	丹
丽	丽
丿	⼃
乁	乁
乙	㆚
九	㊈
亂	亂
亅	⼅
了	了
二	⼆
五	㊄
亠	⼇
交	🈘
亮	亮
人	⼈
什	什
仌	仌
令	令
令	㋿和
企	㊭
休	㊡
你	你
侀	侀
來	來
例	例
侮	侮
侻	侻
便	便
倂	倂
倫	倫
偺	偺
備	備
像	像
僚	僚
僧	僧
優	㊝
儿	⼉
兀	兀
充	充
免	免
兔	兔
兤	兤
入	⼊
內	內
全	全
兩	兩
八	⼋
六	六
具	具
冀	冀
冂	⼌
再	再
冒	冒
冕	冕
冖	⼍
冗	冗
写	㊢
冤	冤
冫	⼎
冬	冬
冷	冷
凉	凉
凌	凌
凜	凜
凞	凞
几	⼏
凵	⼐
刀	⼑
刃	刃
切	切
列	列
初	🈠
利	利
刺	刺
刻	刻
剆	剆
前	🈜
割	割
剷	剷
劉	劉
力	⼒
劣	劣
劳	劳
労	㊘
勇	勇
勉	勉
勒	勒
勞	勞
勤	勤
勵	勵
勹	⼓
勺	勺
包	包
匆	匆
匕	⼔
北	北
匚	⼕
匸	⼖
医	㊩
匿	匿
十	⼗
卄	〹
卅	〺
卉	卉
卑	卑
協	㊯
博	博
卜	⼘
卩	⼙
印	㊞
即	即
卵	卵
卽	卽
卿	卿
厂	⼚
厶	⼛
參	參
又	⼜
及	及
双	🈒
叟	叟
口	⼝
句	句
叫	叫
可	㰤
叱	叱
右	㊨
吆	吆
合	鿖
名	㊔
吏	吏
吝	吝
吸	吸
吹	🈥
呂	呂
呈	呈
周	周
咞	咞
咢	咢
咽	咽
哶	哶
唐	唐
問	㉄
啓	啓
啕	啕
啣	啣
喇	喇
喫	喫
喳	喳
営	🈺
嗀	嗀
嗂	嗂
嗢	嗢
噑	噑
器	器
噴	噴
囗	⼞
四	㆕
囹	囹
圖	圖
圗	圗
土	⼟
地	㆞
型	型
城	城
埴	埴
堍	堍
報	報
堲	堲
塀	塀
塞	塞
墨	墨
墬	墬
墳	墳
壘	壘
壟	壟
士	⼠
壮	壮
声	🈤
売	売
壷	壷
夂	⼡
夆	夆
夊	⼢
夕	⼣
夜	㊰
夢	夢
大	⼤
大	㍽正
奄	奄
奈	奈
契	契
奔	奔
奢	奢
姘	姘
姬	姬
娛	娛
娧	娧
婢	婢
婦	婦
媵	媵
嬈	嬈
嬨	嬨
子	⼦
字	🈑
学	㊫
宀	⼧
宅	宅
宗	㊪
寃	寃
寘	寘
寮	寮
寳	寳
寸	⼨
寿	寿
将	将
小	⼩
尸	⼫
尿	尿
屠	屠
屢	屢
層	層
履	履
山	⼭
岍	岍
峀	峀
崙	崙
嵃	嵃
嵐	嵐
嵫	嵫
嵮	嵮
嵼	嵼
嶲	嶲
嶺	嶺
巛	⼮
巡	巡
巢	巢
工	⼯
左	㊧
己	⼰
巽	巽
巾	⼱
帨	帨
帽	帽
幩	幩
干	⼲
平	㍻成
年	年
幺	⼳
幼	㉅
广	⼴
度	度
庰	庰
庳	庳
庶	庶
廉	廉
廒	廒
廓	廓
廙	廙
廬	廬
廴	⼵
弄	弄
弋	⼷
弓	⼸
彐	⼹
当	当
彡	⼺
形	形
彩	彩
彫	彫
彳	⼻
律	律
後	🈝
得	🉐
徚	徚
復	復
徭	徭
心	⼼
忍	忍
志	志
念	念
忹	忹
怒	怒
怜	怜
恵	恵
悁	悁
惇	惇
惘	惘
惡	惡
愈	愈
慄	慄
慈	慈
慠	慠
慨	慨
慺	慺
憐	憐
憤	憤
憯	憯
憲	憲
懞	懞
戀	戀
戈	⼽
成	成
戛	戛
戮	戮
戴	戴
戶	⼾
手	⼿
打	🈱
扝	扝
投	🈧
抱	抱
拉	拉
拏	拏
拓	拓
拔	拔
拼	拼
拾	拾
指	指
挽	挽
捐	捐
捕	🈨
捨	捨
捻	捻
掃	掃
掠	掠
掩	掩
揄	揄
揅	揅
揤	揤
搜	搜
搢	搢
摒	摒
摩	摩
摷	摷
摾	摾
撚	撚
撝	撝
擄	擄
支	⽀
攴	⽁
敖	敖
敬	敬
數	數
文	⽂
斗	⽃
料	料
斤	⽄
新	🈟
方	⽅
旅	旅
无	⽆
既	既
旣	旣
日	⽇
明治	㍾
易	易
映	🈙
昭和	㍼
晉	晉
暈	暈
暜	暜
暴	暴
曆	曆
曰	⽈
更	更
書	書
最	最
月	⽉
有	㊒
朡	朡
木	⽊
李	李
杓	杓
杖	杖
杞	杞
杻	杻
枅	枅
林	林
柳	柳
柺	柺
栗	栗
栟	栟
株	㊑
株式会社	㍿
桒	桒
梁	梁
梎	梎
梨	梨
椔	椔
楂	楂
榣	榣
槪	槪
樓	樓
檨	檨
櫓	櫓
櫛	櫛
欄	欄
欠	⽋
次	次
歔	歔
止	⽌
正	㊣
歲	歲
歷	歷
殟	殟
殮	殮
殳	⽎
殻	殻
毋	⽏
母	⺟
比	⽐
毛	⽑
氏	⽒
气	⽓
水	⽔
汎	汎
汧	汧
沈	沈
沿	沿
泌	泌
泍	泍
泥	泥
注	㊟
洖	洖
洛	洛
洞	洞
洴	洴
派	派
浩	浩
浪	浪
浸	浸
涅	涅
淋	淋
淚	淚
淪	淪
淹	淹
渚	渚
港	港
湮	湮
满	満
溜	溜
溺	溺
滇	滇
滑	滑
滛	滛
漏	漏
演	🈦
漣	漣
潮	潮
濆	濆
濫	濫
濾	濾
瀛	瀛
瀹	瀹
灊	灊
火	⽕
灰	灰
灷	灷
災	災
炙	炙
炭	炭
烈	烈
烙	烙
無	🈚
煅	煅
煉	煉
熜	熜
燎	燎
燐	燐
爐	爐
爛	爛
爨	爨
爪	⽖
爫	爫
父	⽗
爻	⽘
爿	⽙
片	⽚
牐	牐
牙	⽛
牛	⽜
牢	牢
特	㊕
犀	犀
犕	犕
犬	⽝
犯	犯
狀	狀
狼	狼
獵	獵
獺	獺
玄	⽞
玉	⽟
王	王
玥	玥
玲	玲
珞	珞
理	理
琉	琉
琢	琢
瑇	瑇
瑜	瑜
瑩	瑩
璅	璅
璉	璉
璘	璘
瓊	瓊
瓜	⽠
瓦	⽡
甆	甆
甘	⽢
甤	甤
用	⽤
田	⽥
甲	㆙
申	🈸
男	㊚
画	画
甾	甾
留	留
略	略
疋	⽦
疒	⽧
痢	痢
瘐	瘐
瘝	瘝
瘟	瘟
療	療
癩	癩
癶	⽨
白	⽩
皮	⽪
皿	⽫
盛	盛
監	㊬
盧	盧
目	⽬
省	省
眞	眞
着	着
瞋	瞋
瞧	瞧
矛	⽭
矢	⽮
石	⽯
硎	硎
硫	硫
碑	碑
磊	磊
磻	磻
礪	礪
示	⽰
礼	礼
社	社
祈	祈
祉	祉
祐	祐
祝	祝
神	神
祥	祥
祿	祿
禁	🈲
禍	禍
禎	禎
禮	禮
禸	⽱
禾	⽲
秊	秊
秘	㊙
秫	秫
稜	稜
穊	穊
穏	穏
穴	⽳
空	🈳
突	突
窱	窱
竮	竮
竹	⽵
笠	笠
箏	㉇
篆	篆
築	築
簾	簾
籠	籠
米	⽶
类	类
粒	粒
精	精
糒	糒
糖	糖
糣	糣
糧	糧
糨	糨
糸	⽷
紀	紀
紐	紐
索	索
累	累
終	🈡
絛	絛
絣	絣
綠	綠
綾	綾
緇	緇
縂	縂
縉	縉
縷	縷
繁	繁
繅	繅
缶	⽸
缾	缾
网	⽹
署	署
罹	罹
罺	罺
羅	羅
羊	⽺
羕	羕
羚	羚
翺	翺
而	⽽
耒	⽾
耳	⽿
聆	聆
聠	聠
聯	聯
聰	聰
聾	聾
聿	⾀
肉	⾁
肋	肋
肭	肭
育	育
脃	脃
脾	脾
臘	臘
臣	⾂
臨	臨
自	⾃
臭	臭
至	⾄
臼	⾅
舄	舄
舌	⾆
舘	舘
舛	⾇
舟	⾈
艮	⾉
良	良
色	⾊
艸	⾋
芋	芋
芑	芑
芝	芝
花	花
芳	芳
芽	芽
苦	苦
茝	茝
茣	茣
茶	茶
荒	荒
荓	荓
荣	荣
莭	莭
莽	莽
菉	菉
菊	菊
菌	菌
菜	菜
菧	菧
華	華
菱	菱
落	落
葉	葉
蓮	蓮
蓱	蓱
蓳	蓳
蓼	蓼
蔖	蔖
蕤	蕤
藍	藍
藺	藺
蘆	蘆
蘒	蘒
蘭	蘭
蘿	蘿
虍	⾌
虐	虐
虧	虧
虩	虩
虫	⾍
蚈	蚈
蚩	蚩
蛢	蛢
蜎	蜎
蜨	蜨
蝫	蝫
螆	螆
螺	螺
蟡	蟡
蠁	蠁
蠟	蠟
血	⾎
衠	衠
裂	裂
裏	裏
裗	裗
裞	裞
裡	裡
裸	裸
裺	裺
褐	褐
襁	襁
襤	襤
襾	⾑
覆	覆
角	⾓
解	觧
言	⾔
誠	誠
調	調
請	請
諒	諒
論	論
識	識
讀	讀
谷	⾕
豆	⾖
豈	豈
豸	⾘
貝	⾙
財	㊖
販	🈣
貫	貫
賁	賁
賂	賂
資	㊮
賈	賈
賓	賓
贛	贛
赤	⾚
走	⾛
起	起
足	⾜
趼	趼
跋	跋
路	路
跰	跰
身	⾝
軔	軔
輦	輦
輪	輪
輻	輻
轢	轢
辛	⾟
辞	辞
辵	⾡
辶	辶
連	連
遊	🈫
適	㊜
遲	遲
遼	遼
邏	邏
邑	⾢
邔	邔
郎	郎
郞	郞
郱	郱
都	都
鄑	鄑
鄛	鄛
酉	⾣
配	🈻
酪	酪
醙	醙
醴	醴
釆	⾤
量	量
鈴	鈴
鈸	鈸
鉶	鉶
鉼	鉼
鋗	鋗
鋘	鋘
錄	錄
鍊	鍊
鏹	鏹
鐕	鐕
長	⾧
門	⾨
開	開
閭	閭
閷	閷
阜	⾩
阮	阮
陋	陋
降	降
陵	陵
陸	陸
陼	陼
隆	隆
隣	隣
隶	⾪
隷	隷
隸	隸
隹	⾫
雃	雃
離	離
雨	⾬
零	零
雷	雷
霣	霣
露	露
靈	靈
靑	⾭
非	⾮
面	⾯
革	⾰
韋	⾱
韛	韛
韠	韠
韭	⾲
音	⾳
頁	⾴
項	㊠
領	領
頩	頩
類	類
風	⾵
飛	⾶
食	⾷
飢	飢
飯	飯
飼	飼
館	館
餩	餩
首	⾸
香	⾹
馧	馧
馬	⾺
駂	駂
駱	駱
駾	駾
驪	驪
骨	⾻
高	⾼
髟	⾽
鬥	⾾
鬯	⾿
鬲	⿀
鬼	⿁
魚	⿂
魯	魯
鱀	鱀
鱗	鱗
鳥	⿃
鳽	鳽
鵧	鵧
鶴	鶴
鷺	鷺
鸞	鸞
鹵	⿄
麗	麗
麟	麟
麥	⿆
黃	⿈
黍	⿉
黎	黎
黑	⿊
黽	⿌
黾	黾
鼅	鼅
鼎	⿍
鼏	鼏
鼓	⿎
鼖	鼖
鼠	⿏
齃	齃
齊	⿑
齒	⿒
龎	龎
龟	⻳
龠	⿕
𠄢	𠄢
𠔜	𠔜
𠔥	𠔥
𠕋	𠕋
𠘺	𠘺
𠠄	𠠄
𠣞	𠣞
𠨬	𠨬
𠭣	𠭣
𡓤	𡓤
𡚨	𡚨
𡛪	𡛪
𡧈	𡧈
𡬘	𡬘
𡴋	𡴋
𡷤	𡷤
𡷦	𡷦
𢆃	𢆃
𢆟	𢆟
𢛔	𢛔
𢡄	𢡄
𢡊	𢡊
𢬌	𢬌
𢯱	𢯱
𣀊	𣀊
𣊸	𣊸
𣍟	𣍟
𣎓	𣎓
𣎜	𣎜
𣏃	𣏃
𣏕	𣏕
𣑭	𣑭
𣚣	𣚣
𣢧	𣢧
𣪍	𣪍
𣫺	𣫺
𣲼	𣲼
𣴞	𣴞
𣻑	𣻑
𣽞	𣽞
𣾎	𣾎
𤉣	𤉣
𤋮	𤋮
𤎫	𤎫
𤘈	𤘈
𤜵	𤜵
𤠔	𤠔
𤰶	𤰶
𤲒	𤲒
𤾡	𤾡
𤾸	𤾸
𥁄	𥁄
𥃲	𥃲
𥃳	𥃳
𥄙	𥄙
𥄳	𥄳
𥉉	𥉉
𥐝	𥐝
𥘦	𥘦
𥚚	𥚚
𥛅	𥛅
𥥼	𥥼
𥮫	𥮫
𥲀	𥲀
𥳐	𥳐
𥾆	𥾆
𦇚	𦇚
𦈨	𦈨
𦉇	𦉇
𦋙	𦋙
𦌾	𦌾
𦓚	𦓚
𦔣	𦔣
𦖨	𦖨
𦞧	𦞧
𦞵	𦞵
𦬼	𦬼
𦰶	𦰶
𦳕	𦳕
𦵫	𦵫
𦼬	𦼬
𦾱	𦾱
𧃒	𧃒
𧏊	𧏊
𧙧	𧙧
𧢮	𧢮
𧥦	𧥦
𧲨	𧲨
𧻓	𧻓
𧼯	𧼯
𨗒	𨗒
𨗭	𨗭
𨜮	𨜮
𨯺	𨯺
𨵷	𨵷
𩅅	𩅅
𩇟	𩇟
𩈚	𩈚
𩐊	𩐊
𩒖	𩒖
𩖶	𩖶
𩬰	𩬰
𪃎	𪃎
𪄅	𪄅
𪈎	𪈎
𪊑	𪊑
𪎒	𪎒
𪘀	𪘀
不要	嫑
不用	甭
不大	奀
