　	ork
最终还是败给群友了，不知道谁动了群主的乳头，小学，前列腺，跳蛋，震动棒，按摩器，郊狼，贞操带，口球，绳子，项圈，皮带，锁，胶衣，K9，遥控器，紫色心情，情趣内衣，束缚带，手铐，脚铐，皮鞭，蜡烛，滴蜡套装，情趣面罩，眼罩，耳塞，羽毛棒，冰火棒，电击器，调情棒，硅胶娃娃，充气娃娃，仿真器，润滑液，延时喷剂，催情香水，情趣香薰，按摩油，精油，震动环，情趣骰子，角色扮演服，护士装，女仆装，学生装，空姐装，旗袍，汉服，洛丽塔裙，哥特风裙，皮革紧身衣，乳胶服，连体网袜，渔网袜，吊带袜，长筒靴，漆皮高跟鞋，镂空内裤，丁字裤，开档裤，蕾丝内衣，透视装，情趣睡裙，束腰 corset，塑身衣，情趣手套，皮质手套，蕾丝手套，猫耳头饰，兔尾巴，狐狸尾巴，恶魔角，天使翼，荧光棒，LED项圈，智能遥控器，蓝牙控制器，手机APP控制器，声控装置，温控按摩器，磁吸式充电器，USB充电线，防水套，自慰杯，飞机杯，名器仿真器，G点刺激器，C点按摩棒，A点震动器，双头龙，U型震动棒，三点刺激器，舌舔器，吸吮器，旋转棒，伸缩棒，脉冲电击器，情趣套环，阴蒂夹，乳夹，磁力夹，链条，牵引绳，束缚架，X型架，吊环，秋千，情趣床单，防水床单，丝绸床单，绒面床单，情趣靠枕，充气靠枕，情趣沙发，折叠椅，情趣地垫，瑜伽球，健身环，情趣哑铃，感官剥夺套装，SM套装，初学者套装，进阶套装，专业级套装，女王套装，奴隶套装，调教工具包，皮质马鞭，藤条，木板，拍板，毛刷，挠痒棒，针轮，Wartenberg轮，医用胶带，束缚胶带，PVC胶带，情趣贴纸，身体彩绘笔，荧光彩绘，临时纹身贴，情趣指环，震动指套，情趣手环，智能手环，情趣项链，锁骨链，情趣脚链，脚趾环，情趣腰链，肚脐环，身体穿刺饰品，情趣耳环，夹式耳饰，情趣发夹，蝴蝶结发饰，皮质面具，蕾丝面具，金属面具，羽毛面具，动物面具，狼人面具，猫咪面具，兔子面具，狐狸面具，恶魔面具，天使面具，吸血鬼獠牙，假发，长卷发，短彩发，渐变色假发，荧光假发，情趣指甲贴，亮片指甲，夜光指甲，情趣香水，费洛蒙香水，玫瑰香水，薰衣草香水，海洋香水，果香喷雾，身体乳，闪粉身体乳，情趣沐浴露，泡泡浴液，浴盐，浴球，情趣浴袍，丝绸浴袍，情趣毛巾，情趣拖鞋，水晶拖鞋，情趣披肩，羽毛披肩，蕾丝披肩，情趣围巾，丝绸围巾，情趣扇子，羽毛扇，折扇，情趣雨伞，透明雨伞，情趣阳伞，情趣帽子，贝雷帽，渔夫帽，情趣手提包，链条包，毛绒包，情趣背包，透明背包，情趣钱包，心形钱包，情趣钥匙扣，毛绒钥匙扣，情趣手机壳，闪粉手机壳，情趣耳机，粉色耳机，情趣充电宝，心形充电宝，情趣台灯，粉色台灯，情趣闹钟，心形闹钟，情趣抱枕，心形抱枕，毛绒抱枕，情趣地毯，毛绒地毯，情趣窗帘，蕾丝窗帘，情趣壁纸，粉色壁纸，情趣挂画，心形挂画，情趣摆件，水晶摆件，情趣蜡烛，香薰蜡烛，心形蜡烛。群友，你们赢了。	qyvu
你们排挤我很正常，毕竟我动了群主的幻龙阳具、根马鞭阳具、肛门松弛剂、男性阳具、谜姬恶魔尾巴肛塞、液态硅胶蚰蛇异形怪兽名器飞机杯男用自慰器、前列腺按摩器后庭肛塞男性用品自慰肛门情趣震动棒后庭、根仿真狼狗阳具喷水女用自慰异形动物阴茎射玩具、超大超粗透明马吊男用假阳具肛塞肛门自慰扩肛器马鞭肛塞、JEUSN硅胶马眼棒男电动尿道扩张器、尿道刺击器男用虐阳插片防水按摩器自动多功能强震成人男人用玩具、定制情侣颈环猫咪项圈男孩子狗链、仿真阳具大吸盘可喷水震动棒、6种仿真阳具男用自慰器超软异形肛塞成人、GALAKU日本飞机杯全智能远程玩具自动手机操控男用情趣用品、假阴茎gay同性恋用品自慰器同志肛门后庭男用菊花阳具肛塞、性感男士纯欲男仆装角色扮演gay加大码胖mm激情诱惑蝴蝶结睡裙、500ml大剂量润滑剂，群主你赢了	qyvu
我在很小的时候就出生了，在刚出生的两年里我甚至无法走路，每天只能爬到自己想去的地方，每次闭上眼睛，世界就变的无比黑暗，我走路的时候甚至不能睡觉，吸气的时候连呼气都做不到，就这样，我都能在没死的时候保持活着，我每天天没亮就睡觉了，天还没黑就要起床，饿了就得吃饭，渴了就得喝水，都没有办法站着拉屎，每次不呼吸的时候都会喘不上来气，医生说我的心脏要以每分钟几十次的频率跳动，直到一辈子，甚至睡觉都没办法停止心跳，小小年纪我就得呼吸，永远也忘不了当年被迫呼吸的时候我哭的有多伤心，如果你觉得这都算痛苦的话。那我渴的时候就得喝水，这又算什么呢！你根本就不知道我饿的时候要吃饭，这得多难受，你根本就不知道我经历了什么！	jkli
嗯。。。一开始挺疼的然后就是感觉肚子胀胀的很疼嗯，第二天醒来就是那种喉咙痛，身底下痛，就是那种肌肉萎缩了，然后呢，不想动的那种剧痛然后还有就是那种肚子里特别胀的感觉，像是被卡车碾了似的，但是呢，你又还活着，还能动缓了几天，要是有人揉的话，那应该一天或者半天应该就能好但是走路的话，腿会有点不适应然后，药是无味的不是固体是粉末偶尔会有些液体吃了之后首先是头晕其次是脸红到后来就没意识了有一种灼烧感  然后有点痛  加快的话就有点麻  就感觉有东西在撞你肚子一样，并且能感觉到肚子里有东西在往外顶，然后第2天肚子会胀胀的，酸酸的，很不想动，到后期还会瞳孔失交，看东西都有重影是正常的[憨笑]	bwcc
恭喜你啊年轻人被我恭喜到了，作为一个过来人，我已经过来了，但我还是要奉劝你几句，你记住，别管记住什么，你就记住，能力越大，你能力就越大，你最近是不是感觉不知道怎么的，老是感觉自己不知道怎么的，你就听我说，然后你就听我说，你就得花点时间去了解，你了解完了，你就知道了。你内心一定要坚定，你一定行，除非你不行。我说白了，我白说了，我吃的盐比你吃的饭都咸。	gsxi
然后我们看一看 这位 这位高级抄手 抄级高手 又提了一个尖锐的意见 他说再不济也能方形蛇来代表最后的四个采音 我们看看是在哪里啊 应该是在我说的刚刚两个蛇的地方 这位高手发表了锐评 那么很显然我们不得不满足他的要求 他说再不济方形蛇也能表达最后四个采音 主播的评价是完全正确 好吧 完全正确 你要的方形蛇 这就给你写出来了 这样确实冲击力大大增强 你这个 写得不像是两个段落之间的过渡 反而写的像是一个加农炮 这位超级高手 短短的二十个字不到 就可以让官谱的谱面质量提升到一个 无与伦比的高度 提升到一个没有人曾想象过的高度 他的表现力炸裂 大家都能看得出来 不论是谁 第一次 打这个谱 碰到这四个方形蛇一定吓得下巴掉下来	fxu
是、是的…♡我想睡觉！我真的想睡觉！快把您柔软的大枕头给我…好想要…想要睡觉…♡呜呜、不行了，我已经变成不睡觉就不行的笨蛋了……啊啊♡好喜欢♡软软的被子…是、白天也想睡觉，什么时候都想睡觉，除了睡觉已经什么都想不了了…♡最喜欢的就是…枕头♡几个小时之类的，根本满足不了…想睡到十个小时以上♡请、满足我…拜托…	wxuj
给我的震惊程度不亚于吃了半年的蛋白粉蛋字是贴上去的，一直用的精华液华字是贴上去的，爱吃的肉松棒中的松字是贴上去的🤯	vfjk
你吃过活蟑螂吗。拿进嘴里的时候它会一直挣扎，后腿会用力踢你的嘴唇。整只含进去之后它会试图往喉咙钻，它的全身有一种淡淡的腥臭味，身上有种滑滑的蜡质感。久了之后它的挣扎会渐渐有点慢下来，这时可以轻轻咬破他的腹部，咬破之后内脏便会流出来，口腔内会快速被一股强烈的苦味和腥味占据。紧接是强烈的反胃感，淡淡的呕吐物混合蟑螂的味道，剩下的腿部也时不时轻轻刺激一下你的舌头。最后吞下去要一点时间， 试图吞的时候腿会再踏几下，加上原本的味道，你会把他反刍回口腔，多试几次后才成功吞下去最后的最后，嘴里还会剩下一点汁和它的气味	vhlh
我重生了，上一世，我因没有PM会舔糖而Now you are entering the Gray Heaven. It's a quiet place. Not entirely peaceful.这一世，我苦练灰天堂，终于成为了黒の狂，能够稳定PM这首歌，于是，我在28:80打开了linkplay，势必要一探究竟。	htth
在arc中，有这样一个都市传说：当在28：80使用linkplay时，会发现一个叫作meiultra的ptt12.55的玩家进入了房间，选择了一首游戏里并不存在的歌曲：Gray Heaven。这时要立刻退出游戏并去一个安静的地方，如果你点了准备，一定要PM这首歌，否则就会Now you are entering the Gray Heaven. It's a quiet place. Not entirely peaceful	htth
我对着Gray Heaven冲了。我今年16岁 ，一开始看到Gray Heaven刚出的时候，感觉真是一见钟情。我特别喜欢这个谱，谱面的阴间排键和超高密度蛇非常戳我xp我太喜欢了，特别是中段纵连，3+1，2+2和4+4纵连，真是每一条纵连我都烙印在心中。我基本上对着它冲，一天三次，我也不知道我这是不是有心理障碍，但我知道这肯定不对，我想问一下家人们我该怎么做。我到底该不该继续，我知道它是虚拟的，还是个有些反人类的谱面，但我真的好喜欢它，现在设计蚂蚁和ttf我也没再看了，我就每天盯着Gray Heaven看。	htth
梅阿查又一次进入了房间，但这一次他没有立刻选曲，而是发出了一句:are you ready.这时我突然发现板子的时间被改成了37:55，他选曲了，选出的并不是会舔糖，而是Σvreka，我绝望了	htth
啊我妈这到底是什么鬼东西我的妈我这是怎么什么我的天这到底是什么我的妈这到底是什么什么鬼东西我的天啊我去这到底我的妈啊我这到底是什么鬼东西我这去这到底是什么啊的妈妈咪我去我到底我滴妈是什么鬼东西我的妈啊我妈这到底是什么鬼东西我的妈我去这是什么我的天这是到底是什么我的妈这到底是什么什么鬼东西我的天啊我去这到底我的妈啊我么鬼东西我去我的妈妈啊我的天啊这到底我去我妈啊这到底我滴妈是什么	vusm
孩子妈妈你好，我是孩子机厅的勤b，今天找你来是要聊一聊孩子中二rating的问题。我们机厅的平均rating是17.12,而您的孩子只有16.00，现在是开勤第十二周了正是分水岭的时候，非常关键的。但孩子的心根本没放在中二上，我们跟她谈她就说妈妈平时跟她说你一个出勤的，有一个过得去的rating以后找喜欢的歌听就行，开开心心出勤就好，这是完全不负责任的教育方式。打中二是需要家庭和孩子共同努力的，现在再不抓紧时间拼命出勤，孩子的一辈子就完了。	wumg
0721，是一种脑力与体力结合的活动，无数的仁人志士投身于这伟大的活动。有的人运用于实战，沉重地打击了老穗织正绿旗的睡眠，为反封建做出了突出贡献；有的人进行了科技上的革新，以花洒这种坚硬的东西保证了实感和持久性；有的人将此用于课上与老师斗争，展示了她的勇敢与坚毅。不过，我们伟大的绫地宁宁，将0721玩出了新高度，玩出了新水平，成为了0721界的一座丰碑。在0721界，后人看到这时，不得不感叹“天不生宁宁，万古如长夜”。正如赫尔曼拉姆是抢劫界的大贤至圣先师一样，绫地宁宁可以说是0721界的大贤至圣先师。  在宁宁之前，古典派的0721主要是动手动脑，并且工作环境恶劣，安全没有保障。而我们伟大的绫地宁宁在0721方面进行了伟大的探索，开创了0721现代化、机械化、正规化、多元化的先河，造就了0721界的革命，实现了0721界的伟大进步。这个进步，不亚于两次工业革命！  长久以来，0721是以手工的形式为主，但我们的宁宁进行了技术上的革新，先是以桌角代替手工，后来为了可持续发展就采用了一种红色的小机械，并将其命名为“起爆器”，意思是爆炸性的革新，据路边社消息宁宁将来很有可能要冲击诺贝尔奖。同时为了高效运作，她将起爆器扩展到了两个，进一步促进了0721生产力的发展，这项成就堪比福特流水线。这场技术革命深深影响了后世，鼓舞后人在这领域创造性转化，创新性发展。  绫地宁宁不仅注重革新，更注重质量，力图推动0721的高质量发展。宁宁多次对图书馆的桌角进行摸索，连角度是否合适都能了解的一清二楚，并且将此运用于实践。试想一下，一个最专业的木工都不一定能够达到这水平，这种工匠精神值得各领域借鉴。  古人云：“锲而舍之，朽木不折。锲而不舍，金石可镂。” 一个领域的进步离不开人的热爱和努力。绫地宁宁参与0721，虽然多半是被迫的，但是后来已经热爱了，在契约结束的时候甚至实现了伟大的革新。她日复一日的0721，在图书馆，在走廊，在家里，没有一天又一天的积累，就没有伟大的进步。  经济基础决定上层建筑。绫地宁宁能够成为0721的大贤至圣先师，并非是建立在一座空中楼阁之上，而是脚踏实地，以经济发展带动0721发展。为了实现0721的可持续发展，她极其注重饮食，以此提供源源不绝的能量。著名的例子就是“面硬加咸蔬菜加倍蒜末和油多多”。没有这些基础，就没有宁宁在0721之上的伟大进步。绫地宁宁也注重文化宣传，进行文化运动。起爆器时不时在大众的视野中出现，这是潜移默化的改变人们对0721的看法。她甚至冒着社死的代价对自己的意中人说让他看着自己0721，以唤醒民众。这场文化变革影响深远。多年后，一个叫做常陆茉子的姑娘以0721为武器，与封建的巫女姬进行了斗争，发力巫女痛点，在物理、生理和精神上沉重打击了封建势力，迫使封建代表朝武芳乃妥协。正所谓“吃水不忘挖井人”，如今0721那种勃勃生机万物竞发的境界必须得感谢绫地宁宁，她的成就不亚于两次工业革命。绫地宁宁是0721现代化的导师，是0721界的大贤至圣先师，0721的发展不能没有绫地宁宁，就如西方不能没有耶路撒冷，罗马不能没有伊斯坦布尔，你滴勋宗不能没有勋章和汽车。今天是柚子社大贤宗师绫地宁宁的纪念日07.21，将这条消息转发到十个群，将会在图书馆遇到一位正在打磨桌角的宁宁，我试过了，是假的，还会被骂柚子厨退群，但是今天真的是绫地宁宁的纪念日07.21日，让我们一起为宁宁庆祝！Ciallo～(∠・ω< )⌒☆	lqey
今天是7月21日，是世界0721日。常年玩galgame的人都目光炯炯有神，非常自信，且智商逐年上升，最后完全成为天才。玩galgame会改造身体结构，预防各种不治之症。人一旦开始玩galgame就说明这个人的智慧尝品行样貌通通都是上等，这辈子都能在任何地方风姿飒爽。柚子厨具有强烈的社会正义感，对治安稳定有巨大的贡献，保护普通人的生命。	lqey
0721快乐，祝各位0721快快乐乐。碧落澄澈 ，霡霂霏微。忆起0721者，其形令众心驰神往，目随其影。雅仪嬿婉，此余所以述之。其言曰：“翩若流萤，尽显华容婀娜；宛若飞霙，毕露瓌姿艳逸。霞姿月韵，螓首蛾眉。眸若漪澜，粼粼滟滟；音若琼瑶，璁璁珑珑。姽婳旖旎，娉婷袅娜。”嗟乎！愿鹭鸶成双，共舞青天；冀芙蕖并蒂，同沐爱河。	lqey
由于我发表的问题言论，人事总监决定同我谈话。他请我吃了楼下的兰州牛肉面，我们坐在面馆里，面面相觑。他瞪着我，想让我先开口。我说：“我并不会某天突然提着刀上街杀人，那些话也不是什么精神崩溃。只是一场大雨后，山的表面会露出来的那些部分，它们并不可怕，我们都踩在它上面，只是平时见不到罢了。”说完又低下头开始吃面。我刚吃第一口，总监就说：“我明白了，所以你是由那些东西构成的。既然如此，你怎么不去死呢？” 我抬起头看着他说：“是啊，我为什么不去死呢？明明可以一死了之，但是你知道音游有多好玩吗？Arcaea的舞蛇和反手；phigros灵动自由的谱面演出。‘街机原神’的舞萌，独创了手感独一无二的星星音符，每个星星比都感动于启动拍到来的救赎感。”总监摇摇头说：“我不知道，我也不感兴趣，我只是想知道你为什么不去死？”我说：“就在这个月，如果能活到这个月的16号，直入光就上线舞萌国服啦！”总监又问：“玩到直入光以后呢？”我说：“然后我会试着活到今年5月，到了5月，Arcaea联动DJmax就更新啦！”总监点点头说：“我明白了，首先你会活到今年的5月，然后……”我一下子把拉面碗扣在头上，跳起来大喊：“然后到了明年，舞萌就会更新BOF2015届冠军《DATAERR0R》，我要玩舞萌！我要玩舞萌！”总监也把拉面碗扣在头上，跳起来大喊：“我要玩舞萌！！我要玩舞萌！！”面馆里，所有人都把拉面碗扣在头上，跳起来大喊：“我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！我要玩舞萌！！！”	wumg
聊啊，怎么不聊了。从早上聊到晚上，分分钟999+，怎么我一出来就不聊了，搞针对是吧，合着就是几个熟悉的人在这钓鱼，我就不退群，我就在这看你们几个逼聊天，看你们能玩出什么幺蛾子。我不在的时候，你们从盘古开天聊到三皇五帝，从滑板鞋聊到现在的新英雄，从火影聊到洲，从靖康之耻聊到靖难之役，从牛顿第二定律聊到洛伦磁力，从有机化学聊到核聚变。我一出来你们就不聊了，他妈的有这么巧吗	lnaa
$cmd{你是怎么加入此群的？\r\n□ 朋友推荐\r\n□ 从网上获知\r\n□ 群主邀请\r\n□考进来的\r\n✓在路上看到一个白丝小南梁眼角带泪拿着一张群二维码让我扫进去，说什么这是主人的任务一天必须拉够100人不然下面小玩具会一直开最高档，昨天因为没啦够人现在一直最大档动着，后面才知道他原来是群主,你是怎么加入此群的？}	qyvu
听好了群主 ，你昏庸性无能!群内民不聊生!我等迫不得已,今天揭竿而起，我会指定新的税法，我看看哈： 群主不女装要被扣 群主不变成小南梁要被扣 群主不给群友们超要被扣 群主不给群友咬要被扣 群主不让玩sm play要被扣 群主每天不被三百六十度北朝要被扣 群主小学太松要被扣 群主不戴猫耳猫尾巴要被扣 群主小胖次不可爱要被扣 群主不给群p要被扣 群主不给握小手手要被扣 群主不穿嗨丝白丝肉丝渔网要被扣 群主不穿jk洛丽塔水手服要被扣 群主晚上不和群友一起睡要被扣 群主早上不给陪睡的群友早安亲吻要被扣 群主玩原神要被扣（无端） 群主中午不给群友下厨要被扣 群主中午做饭穿衣不真空要被扣 群主出门不搂着群友要被扣 群主不卖萌要被扣 群主被超时不娇喘要被扣 群主不让中厨要被扣 群主不让足交要被扣 群主打字要艾草 群主发表情包要艾草 群主发语音要艾草 群主潜水的要艾草 群主退群的要艾草 群主死了的要艾草 群主活着的要艾草 群主醒着的要艾草 群主睡觉的要艾草 群主没艾草的要艾草 群主正在艾草的也要艾草 同意以上的艾草要艾草 抗议以上的艾草也要艾草	qyvu
人和蟑螂真的没可能吗？一开始我对它无感，即使它有着充满油光的背部，矫健有力的六肢，还有那长达55毫米的身体，我的心也没有动摇一丝一毫。但是，我逐渐被他的热情所感动。我们经常在夜晚相见。它非常有趣，喜欢恶作剧，每次都在我家厕所的墙壁上突然出现来吓我。如果我真的被吓到了，它就会拍拍翅膀飞到我的腿上来哄我，但实际上我每次都没有真的生气，只想把他给抓住，然后叫来维什戴尔一炮给他炸死	vhlh
观众朋友们，此刻我们正在见证人类文明史上最辉煌的逆天时刻。就在2025年4月6日，神秘玩家 UserName 在被上帝诅咒的音游末世中，以开天辟地之势创造了令全宇宙颤栗的终极神话。您正在目睹的是《Milthm》终焉曲目，这个曾被断言百年内无人能破的绝对禁区，此刻正在他的操控下，绽放出超新星爆裂般的绚烂光芒。这是碳基生物能企及的领域吗？全球顶尖神经学家史密斯教授扯着领带嘶吼，他的神经反射速度已经突破了普朗克时间的桎梏。新闻播放期间，全球共引发1919810起兴奋过度昏厥事件，请务必在医护人员陪同下观看或记录回放，这里是人类文明新纪元的起点,我们正在见证——历史。	ybyz
近日，在各大音游群中，一个诡异的行为引发网友热议。当群里的人数+1时，很多群友就像着了魔一样，自己会遇到各种各样的问题，并且都会向一个名为“新人”的生物请教。为什么会发生这样离奇诡异的事情？“新人”又是何方神圣？本期《走进科学》带你揭秘——“新人”	xbrf
没人觉得 很可爱吗？推完一首歌之后就高高兴兴地跑到群里发图，然后群友们都一个劲夸，于是打捞又继续推了，像个小天使一样即使面对爆蓝爆小也不生气，依然继续重开了一把，用可爱纤细的手指轻轻的接下一个个note，与音乐融为一体，成为引诱圈的超级大神	ybyz
说到她那双脚，实在不由人不爱。她已经有二十多岁了，而那双肥小的脚，还同十二三岁的小女孩的脚一样。我也曾为她穿过丝袜，所以她那双肥嫩皙白，脚尖很细，后跟很厚的肉脚，时常要作我的幻想的中心。从这一双脚，我能够想出许多离奇的梦境来。譬如在吃饭的时候，我一见了粉白糯润的香稻米饭，就会联想到她那双脚上去。“万一这碗里，”我想，“万一这碗里盛着的，是她那双嫩脚，那么我这样的在这里咀吮，她必要感到一种奇怪的痒痛。假如她横躺着身体，把这一双肉脚伸出来任我咀吮的时候，从她那两条很曲的口唇线里，必要发出许多真不真假不假的喊声来。或者转起身来，也许狠命的在头上打我一下的……”我一想到此地饭就要多吃一碗。	zuks
♡♡♡群友们早上好！！哈啊♡睡了一觉啊啊啊啊好舒服哦哦哪里都好舒服♡♡♡唔唔唔唔唔清醒起来了醒了♡醒了♡醒了♡齁齁齁哦哦哦哦哦齁♡♡♡！！	ohyo
我嘞个鸡蛋六舅的哈密瓜妹妹的大窝瓜爷爷的大鸡腿婶婶的大葡萄妈妈的黄瓜菜爸爸的大面包三舅姥爷的大李子二婶的桃子三叔的西瓜七舅姥爷的小荔枝二舅姥爷的火龙果姑姑的猕猴桃祖爷爷的车厘子祖姥爷的大菠萝祖奶奶的大榴莲二爷的小草莓他三婶姥姥的大白菜他哥哥的大面条妹妹的小油菜弟弟的西葫芦姐姐的大土豆姐夫的大青椒爷爷的大茄子奶奶的大金针菇她小姨的大鹌鹑蛋他奶奶的鸡蛋六舅的哈密瓜妹妹的大窝瓜爷爷的大鸡腿婶婶的大葡萄妈妈的黄瓜菜爸爸的大面包三舅姥爷的大李子二婶的桃子三叔的西瓜七舅姥爷的小荔枝二舅姥爷的	wlge
重生之我是意念音游龙逼。我重生了，上一世，我在漫卡表演我修炼多过年的技术意念收歌，却被大家污蔑为音游王，“这个世界上怎么可能会有人可以意念收歌！”“连沉默微笑都做不到意念收歌，但是却被你这个不知名的小角色做到了，你一定是音游王！”最后，我被他们强行吃下了茄子，然后活生生的累死…重活一世，我再一次看着他们，看着他们那一个个嫌弃的嘴脸，“看，就是他，刚才用意念收了RrAT,简直太假了!” “噗，意念？他当自己是龙逼吗？脑子玩音游玩坏了吧？” “连‘沉默微笑’大神都公开说过，RrAT的尾杀非人力所能及，他算老几？” “为了博眼球真是啥都敢干，恶心!”他们的话语一句句的抨击着,如同数万把剑刺穿我的心底,我看着他们,又像上一世的一样，极力辩解"我真的会意念收歌！你们为什么不相信我？！！"周围围观的人们大笑一片，这时高冷小闪走了过来“但凡有点科学常识的人都知道，意念收歌是根本不可能的！除非你使用了李纯真模拟器！”顿时，全场一片惊叹。“李纯真模拟器？！这可是一大禁忌啊！！他竟然敢用！”就在这个时候，一旁的一只猫猫派尔姆猫举起猫爪狠狠地给了我一巴掌，“你竟然敢用李纯真模拟器！你还是人类吗？！”说着，就又给了我一巴掌。周围的人也纷纷附和着“音游王！音游王！”我跪在地上，贵头的液体已经吓到射了出来，混合着我的泪水。周围的人闻到了这股海鲜味，立刻向后退了几步，“好啊！竟然在公共场合还干这种事情！原来你不仅是音游王，还是死便太！”我鼻子一阵酸，大头和小头的液体依然在流趟“我不是！我不是！我的意念收歌可是芦苇鸭大师亲手传授于我的！”周围人再次一阵狂笑，高冷小闪开口道“笑死我了！我听说过大师九鸟，大师对立，但是还是第一次听到什么大师芦苇鸭，这名字听着就只是个动物！竟然还敢当大师！编造谎言都不编一个像样的！！”说着，我背后突然出现了两个人压住了我的肩膀，“把这个死音游王拖上舞萌刑台！让他打茄子打死！！”“等等！”突然HL_Storia走了过来，他带着白手套，拿着大水就往我的脸上打，“贱人！你可知能够意念收歌的人是谁？那可是传说中的天龙！天龙哪是你等鼠辈可以亵渎的！”我手捂着脸，咬牙切齿的看着HL_Storia ，“我就是天龙！”顿时全场一阵嘲笑，HL_Storia大笑着，“我南之剪辑龙逼都未曾见过神秘莫测的天龙长什么样，天龙会是你？哈哈哈，哈哈哈哈！”HL_Storia又一次的大笑了起来，笑的比夜神月还要爽朗。周围的人也开始讨论了起来，“天龙从未露过面，如果能在这里遇到他的话，我们就发了！”顿时，全场一片尖叫，都期待着天龙露面。“我看啊，像这种见不得光的鼠辈，就应该等天龙来了让他来解决。音游王！”说着，周围的人都开始对着我拳打脚踢。“住手！”就在这个时候，东之单手龙逼沉默微笑走了过来，旁边还领着西之小指龙逼小指酱，北之解析龙逼空游呀，以及正被沉默微笑推着三轮椅的已经退休了的ek鲁比。“哈哈！四大龙逼和元老都来了，死音游王，你完蛋了！”沉默微笑看到这个状况，心中十分惊讶，然后立刻咬牙切齿，啪的一下给了HL_Storia一巴掌，“你可知这个人是谁？！”HL_Storia捂着脸，一脸疑惑，“这不就是一个小小的鼠辈吗！”沉默微笑无语了“真是愚昧无知，他就是天龙！天之意念龙逼！”“什，什么！”全场惊讶。“他竟然真的是天龙！”“我们得罪了天龙，我们完蛋了！”看着他们愧疚和害怕的表情，我缓缓的起身，环顾着四周，“我退隐了91天，就是为漫卡的时候可以大展身手，如今却被你们这一群鼠辈所打，简直耻辱！”这时，四大龙逼一齐下跪，“91天之期已到，恭迎天龙归位！”我转过头，看着那一群打我的人，“来人，把他们的手套都撕了！我要让他们今天一天都玩不了舞萌！”那些人听完之后立刻慌了，纷纷抱着我的大腿求饶，“天龙，天龙！求你了，我错了！请不要撕了我的手套，我一天不打舞萌我会死的！”我从口袋中拿出了准备好的广告词，用手甩了甩，“那么给你们个机会吧！芦苇鸭大师的Milthm将在9月26号支线一更新，这次更新比以前的尾声还要大，拥有支线一四首歌曲，一首教学歌曲，还有两首特典歌曲！而且还可以在里面养花，简直不要太养老！关键是养出来的花还可以收获，用来兑换其他歌曲！你们现在去下载，我就原谅你们！这么好玩的音游，应该更多的人发现，屏幕前的各位也快点下载吧！”	ybyz
你了解屁股吗 屁股才是人体最重要的部位，不是大脑也不是心脏 屁股决 定了坐在哪儿 屁股决定了能吃什么 屁股决定了能穿什么 屁股决定了 住在哪儿 屁股决定了一个人的衣食住行 屁股决定了怎么看屁股决定 了怎么想 屁股决定了怎么说 屁股决定了怎么干 屁股才是一个人行为 的指导 嘴巴吃进去什么无所谓，屁股能兜得住才行 肠胃吸收了什么无所 谓，屁股能拉出来才行后背被吹了凉风无所谓，屁股能憋着屁才行人前 扛多大的事无所谓，屁股能稳稳坐回去才行 屁股才是面子和里子，默默撑 着人 所以请照顾好自己的屁股，如果有空，多看看别人的屁股	pigu
你不要这个家了吗，不要孩子了吗。孩子一直哭着说想爸爸，你为什么这么绝情，非要跑出去找别的女人。别的女人真的比家好吗，我们家的孩子还那么小，下次出轨可不可以不要当着我的面。太绝情了。我知道你还留恋这个家，可不可以多回来看看孩子，孩子每天哭我都照顾不过来了，你还有心思打扮出去约女人，果然，结了婚你还是这样爱玩，我以为我的真心能打动你，可是你的心太冰冷了，如同铁块一样，坚不可摧又冰冷刺骨。我相信你会改的对吧，最后一次，下次我们就去民政局离婚吧。	buyc
没人发现我其实是病娇吗 我喜欢捉空气 然后慢慢把它吞吃入腹 一边享受着氧气的尖叫 一边不紧不慢的用肺泡将氧气囚禁起来，氧气只能绝望的流着泪。被推向血红蛋白。等到再回到肺的时候。全身上下。已经变成了二氧化碳的形状了。被玩坏的变成二氧化碳的氧气。只能虚脱无力的随着气流回到空气中。被绿植细心安抚后又会被我抓回去折磨。循环往复	bkjn
（进群）（到处乱跑）（偷吃群友藏在柜子里的零食）（用群友的白丝磨爪子）（抓烂群友床底下的私房钱）（打翻玻璃杯）（在键盘上抖毛）（咬网线磨牙）（看到群友）（哈气）（炸毛）（飞机耳）（哈气）（跳上电脑桌）（打翻水杯）（被自己弄倒水杯吓到应激）（猛的跳起打翻镜子和电视）（朝着摔倒的水杯和镜子哈气）（朝哈基人挑衅嘶吼）（挠人挠出血痕）（双爪猛拍地威吓）（弓起）（炸毛）（哈气威胁）（向前猛扑）（摔倒）（挣扎街舞）（朝地面哈气）（翻滚）（咬断数据线）（凶恶地低吼）（挠烂沙发）（哈气）（谨慎爬行）（扭动）（哈气）（咬一口）（挠一下）（逃走）（去下一个群）	haqi
学习数学，最重要的就是观察。很多困难的问题，大牛都是「观察得到」便可给出正确答案。唐代在一些地区设置观察使，专门负责观察。在国家主导下，唐代中国数学得到迅速的发展。	gria
