：“	;q
本子	bfzi
不负责任	bfzr
不放在眼里	bfzl
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
笔耕不辍	bgbi
包工包料	bgbl
蚌埠	bgbu
不敢当	bgdh
蹦跶	bgda
绷带	bgdd
蹦迪	bgdi
绷断	bgdr
不共戴天	bgdt
半个多世纪	bgdj
不过尔尔	bgee
迸发	bgfa
甭管	bggr
不敢苟同	bggt
崩坏	bghk
蹦床	bgil
白骨精	bgjk
绷紧	bgjb
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
不干胶	bgjn
崩溃	bgkv
崩了	bgle
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
不归路	bglu
不公平	bgpk
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不管三七二十一	bgsy
崩塌	bgta
博古通今	bgtj
不关痛痒	bgty
包工头	bgtz
迸射	bgue
办公室	bgui
半个世纪	bguj
甭说	bguo
不甘示弱	bgur
兵贵神速	bgus
杯弓蛇影	bguy
半个钟	bgvs
绷着	bgve
秉公执法	bgvf
绷直	bgvi
半个钟头	bgvt
报告文学	bgwx
别跟我说	bgwu
不甘心	bgxb
甭想	bgxl
不敢相信	bgxx
不感兴趣	bgxq
半个小时	bgxu
半个月	bgyt
不顾一切	bgyq
不够意思	bgys
不甘于	bgyu
不苟言笑	bgyx
不敢越雷池一步	bgyb
不攻自破	bgzp
闭关自守	bgzu
八竿子打不着	bgzv
不会吧	bhba
帮帮	bhbh
不慌不忙	bhbm
饱汉不知饿汉饥	bhbj
棒打	bhda
榜单	bhdj
变化多端	bhdd
绑定	bhdk
不遑多让	bhdr
北海道	bhdc
不寒而栗	bhel
不欢而散	bhes
绑匪	bhfw
不合格	bhge
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhhx
棒喝	bhhe
帮会	bhhv
不怀好意	bhhy
帮衬	bhif
磅秤	bhig
棒槌	bhiv
不合常理	bhil
绑紧	bhjb
棒极	bhji
邦交	bhjn
绑架	bhjx
蚌壳	bhke
白鹤亮翅	bhli
绑牢	bhlc
帮了	bhle
悲欢离合	bhlh
不回来	bhld
变幻莫测	bhmc
帮忙	bhmh
兵荒马乱	bhml
巴哈马	bhma
绑票	bhpn
帮派	bhpd
不患贫而患不均	bhpj
不回去	bhqu
不合群	bhqy
百花齐放	bhqf
帮腔	bhql
棒球	bhqq
帮人	bhrf
不好惹	bhre
不划算	bhsr
保护伞	bhsj
不好说	bhuo
不合适	bhui
不合时宜	bhuy
帮手	bhuz
帮助	bhvu
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
百花争艳	bhvy
傍晚	bhwj
榜文	bhwf
变幻无常	bhwi
变化无穷	bhwq
冰魂雪魄	bhxp
帮凶	bhxs
保护性	bhxk
榜样	bhyh
榜眼	bhyj
不好意思	bhys
绑在	bhzd
棒子	bhzi
彼岸	bian
必败	bibd
臂膀	bibh
比比	bibi
弊病	bibk
不吵不闹	bibn
罢黜百家	bibj
碧波	bibo
把持不住	bibv
必备	bibw
百吃不厌	biby
彼此	bici
必得	bide
壁灯	bidg
必定	bidk
弊端	bidr
必读	bidu
比对	bidv
笔袋	bidd
比方	bifh
笔法	bifa
比分	biff
避风	bifg
不成方圆	bify
笔杆	bigj
避光	bigl
闭关	bigr
百尺竿头	bigt
壁柜	bigv
百尺竿头更进一步	bigb
百川归海	bigh
碧海	bihd
闭合	bihe
不差毫厘	bihl
避祸	biho
庇护	bihu
避讳	bihv
笔画	bihx
逼婚	bihy
逼近	bijb
笔记	biji
毕竟	bijk
必将	bijl
鼻尖	bijm
必究	bijq
闭卷	bijr
不成敬意	bijy
笔架	bijx
别出机杼	bijv
避开	bikd
鼻孔	biks
闭口	bikz
必看	bikj
比例	bili
毙了	bile
碧蓝	bilj
鼻梁	bill
笔录	bilu
比率	bilv
壁垒	bilw
拔出萝卜带出泥	biln
鼻毛	bimc
闭门	bimf
鞭长莫及	bimj
笔名	bimk
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimw
比拟	bini
避难	binj
婢女	binv
比拼	bipb
逼迫	bipo
比起	biqi
鼻腔	biql
壁球	biqq
不成其为	biqw
避让	birh
必然	birj
比如	biru
鄙人	birf
比赛	bisd
闭塞	bise
比萨	bisa
必死	bisi
不出所料	bisl
笔套	bitc
比特	bite
鼻涕	biti
笔挺	bitk
不成体统	bitt
鼻头	bitz
闭上	biuh
鄙视	biui
避暑	biuu
必杀	biua
必胜	biug
避税	biuv
笔顺	biuy
匕首	biuz
比照	bivc
逼债	bivd
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
壁纸	bivi
比重	bivs
不吃这一套	bivt
逼问	biwf
臂弯	biwj
比武	biwu
不成问题	biwt
笔芯	bixb
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixk
避嫌	bixm
辟邪	bixp
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixx
鼻音	biyb
必要	biyc
毕业	biye
鼻翼	biyi
闭眼	biyj
不齿于人	biyr
必用	biys
比喻	biyu
避孕	biyy
必有	biyz
鼻子	bizi
比作	bizo
鼻祖	bizu
闭嘴	bizv
逼走	bizz
办案	bjan
半百	bjbd
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjbk
半斤八两	bjbl
半边	bjbm
斑驳	bjbo
不见不散	bjbs
颁布	bjbu
不骄不躁	bjbz
不疾不徐	bjbx
半仓	bjch
板材	bjcd
班次	bjci
饱经沧桑	bjcs
搬到	bjdc
不见得	bjde
板凳	bjdg
班底	bjdi
不减当年	bjdn
半段	bjdr
搬动	bjds
伴读	bjdu
不记得了	bjdl
不计代价	bjdj
比较而言	bjey
比肩而立	bjel
不教而诛	bjev
不胫而走	bjez
办法	bjfa
半分	bjff
饱经风霜	bjfu
不解风情	bjfq
宝剑锋从磨砺出	bjfi
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
白驹过隙	bjgx
办好	bjhc
瘢痕	bjhf
半酣	bjhj
版画	bjhx
保驾护航	bjhh
半场	bjih
班车	bjie
办成	bjig
班禅	bjij
搬出	bjiu
半斤	bjjb
班级	bjji
半径	bjjk
颁奖	bjjl
半角	bjjn
半截	bjjp
斑鸠	bjjq
半句	bjju
比肩接踵	bjjv
搬家	bjjx
版块	bjkk
搬开	bjkd
半空	bjks
扮酷	bjku
不积跬步无以至千里	bjkl
不见了	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjlk
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
斑马	bjma
版面	bjmm
不结盟	bjmg
不结盟运动	bjmd
不讲面子	bjmz
比基尼	bjni
伴娘	bjnl
半年	bjnm
搬弄	bjns
半拍	bjpd
半瓶	bjpk
半票	bjpn
般配	bjpw
保健品	bjpb
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
不计前嫌	bjqx
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
搬入	bjru
不尽然	bjrj
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
悲剧色彩	bjsc
半天	bjtm
办妥	bjto
不见天日	bjtr
半桶	bjts
半途	bjtu
不见兔子不撒鹰	bjty
半身	bjuf
半生	bjug
办事	bjui
班上	bjuh
半山	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
扳手	bjuz
必经之地	bjvd
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
搬砖	bjvr
不经之谈	bjvt
版主	bjvu
不见真佛不烧香	bjvx
不解之缘	bjvy
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
不尽完美	bjwm
伴舞	bjwu
不拘小节	bjxj
颁行	bjxk
扮相	bjxl
半仙	bjxm
不尽相同	bjxt
板鸭	bjya
半夜	bjye
别具一格	bjyg
搬移	bjyi
扮演	bjyj
半圆	bjyr
半月	bjyt
不经一事不长一智	bjyv
搬运	bjyy
败局已定	bjyd
不讲义气	bjyq
不久以后	bjyh
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
伴奏	bjzz
北京大学	bjdx
北京师范大学	bjux
并案	bkan
冰雹	bkbc
兵败	bkbd
冰棒	bkbh
病变	bkbm
并不	bkbu
冰冰	bkbk
百看不厌	bkby
并存	bkcy
冰岛	bkdc
冰袋	bkdd
冰灯	bkdg
冰雕	bkdn
冰冻	bkds
冰点	bkdm
病毒	bkdu
不可遏制	bkev
兵法	bkfa
冰封	bkfg
病房	bkfh
不可否认	bkfr
并非	bkfw
并购	bkgz
禀告	bkgc
病根	bkgf
饼干	bkgj
不可估量	bkgl
